
07-07 15:50:29.587 26637 26667 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);SetAreaNeighborsJob;GhostUpdateSystem:UpdateJob (Burst);GhostUpdateJobCustom;GhostUpdateSystem:UpdateJob;Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-07 15:50:29.655 26637 26667 I Unity   : [STATISTIC]304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01458771;
07-07 15:50:29.680 26637 26667 I Unity   : [STATISTIC]305;0;0;0;727384064;15982592;860328575;0;0;0;0;0;0;0;0;0;0;0;0;60512085;10365156;0;0;0;0.01458771;
07-07 15:50:29.956 26637 26667 I Unity   : [STATISTIC]306;281810781;0;281810208;731074560;15982592;860328575;0;0;0;0;0;0;0;0;0;0;0;0;826237914;81250;251033594;0;0;0.02;
07-07 15:50:29.967 26637 26667 I Unity   : [STATISTIC]307;16378333;0;16377813;731987968;15982592;860328575;312;468;208;0;0;990;5967553;0;0;0;0;0;29761772;104948;552396;0;0;0.01639089;
07-07 15:50:29.974 26637 26667 I Unity   : [STATISTIC]308;6001094;0;6000521;732254208;15982592;860328575;208;469;104;0;0;261;880104;0;0;0;0;0;10002810;63437;294531;0;0;0.006007812;
07-07 15:50:29.984 26637 26667 I Unity   : [STATISTIC]309;6791562;0;6791250;732512256;15982592;860328575;0;0;0;0;0;0;0;0;0;0;0;0;12669212;2275417;333802;0;0;0.00679599;
07-07 15:50:30.004 26637 26667 I Unity   : [STATISTIC]310;9949844;0;9949219;736665600;15982592;896467691;0;0;0;0;0;0;0;0;0;0;0;0;9661928;6671979;528073;0;0;0.009955469;
07-07 15:50:30.018 26637 26667 I Unity   : [STATISTIC]311;21163021;0;21162292;741990400;15982592;900661995;313;156;417;0;0;23490;1048333;0;0;0;0;0;55867604;16619115;345000;0;0;0.02117599;
07-07 15:50:30.033 26637 26667 I Unity   : [STATISTIC]312;13621094;0;13620521;742002688;15982592;900666091;104;104;53;0;0;990;983438;0;0;0;0;0;15342605;9792812;243959;0;0;0.01363682;
07-07 15:50:30.046 26637 26667 I Unity   : [STATISTIC]313;14569948;0;14569427;740093952;15982592;898129291;104;365;209;0;0;364;998177;0;0;0;0;0;16020473;5497031;287291;0;0;0.01457531;
07-07 15:50:30.060 26637 26667 I Unity   : [STATISTIC]314;13163854;0;13163281;741064704;15982592;897390455;261;313;365;0;0;365;1003438;0;0;0;0;0;15257708;3274635;302604;0;0;0.01317271;
07-07 15:50:30.075 26637 26667 I Unity   : [STATISTIC]315;14489062;0;14488490;741064704;15982592;897417079;104;156;260;0;0;730;1173386;0;0;0;0;0;16709477;5400208;319948;0;0;0.01449969;
07-07 15:50:30.088 26637 26667 I Unity   : [STATISTIC]316;14739062;0;14738646;741396480;15982592;897417079;156;312;261;0;0;364;853333;0;0;0;0;0;71666;8196719;261719;0;0;0.01474912;
07-07 15:50:30.101 26637 26667 I Unity   : [STATISTIC]317;11265885;0;11265469;742109184;15982592;897417079;0;0;0;0;0;0;0;0;0;0;0;0;10665416;7981511;398333;0;0;0.01127557;
07-07 15:50:30.116 26637 26667 I Unity   : [STATISTIC]318;14386354;0;14385781;743510016;15982592;897417079;104;313;260;0;0;469;858593;0;0;0;0;0;13961510;10729375;231406;0;0;0.0143999;
07-07 15:50:30.130 26637 26667 I Unity   : [STATISTIC]319;15648593;0;15647864;743944192;15982592;897417079;261;312;260;0;0;625;986458;0;0;0;0;0;48988437;11370677;279479;0;0;0.01565375;
07-07 15:50:30.145 26637 26667 I Unity   : [STATISTIC]320;24629428;0;24628802;744701952;15982592;897425271;2056094;1435208;363281;0;0;1198;9618959;0;0;0;0;0;46116509;2592552;1339323;0;27;0.02463943;
07-07 15:50:30.157 26637 26667 I Unity   : [STATISTIC]321;5088854;0;5088333;744935424;15982592;897425271;10365;21666;87760;0;0;1198;2090157;0;0;0;0;0;9250832;36771;294166;0;27;0.005097552;
