
07-07 15:56:28.595  1387  1433 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);SetAreaNeighborsJob;GhostUpdateSystem:UpdateJob (Burst);GhostUpdateJobCustom;GhostUpdateSystem:UpdateJob;Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-07 15:56:28.647  1387  1433 I Unity   : [STATISTIC]304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01520443;
07-07 15:56:28.671  1387  1433 I Unity   : [STATISTIC]305;0;0;0;728850432;16199680;860545663;0;0;0;0;0;0;0;0;0;0;0;0;42426771;75521;0;0;0;0.01520443;
07-07 15:56:28.944  1387  1433 I Unity   : [STATISTIC]306;280290729;0;280290156;732516352;16199680;860545663;0;0;0;0;0;0;0;0;0;0;0;0;820425469;1422448;251052708;0;0;0.02;
07-07 15:56:28.959  1387  1433 I Unity   : [STATISTIC]307;19118854;0;19117969;733745152;16199680;860545663;572;522;833;0;0;1145;8039114;0;0;0;0;0;35159152;85729;597552;0;0;0.01912609;
07-07 15:56:28.966  1387  1433 I Unity   : [STATISTIC]308;6620364;0;6619896;733745152;16199680;860545663;208;365;104;0;0;469;922812;0;0;0;0;0;9519319;99479;352083;0;0;0.006638594;
07-07 15:56:28.981  1387  1433 I Unity   : [STATISTIC]309;6554167;0;6553750;734535680;16199680;860545663;0;0;0;0;0;0;0;0;0;0;0;0;12028752;2231198;354271;0;0;0.006561562;
07-07 15:56:28.995  1387  1433 I Unity   : [STATISTIC]310;16332448;0;16331927;743645184;16199680;900878975;365;156;417;0;0;677;876302;0;0;0;0;0;20274061;12113125;292656;0;0;0.01633865;
07-07 15:56:29.008  1387  1433 I Unity   : [STATISTIC]311;13780885;0;13780417;741687296;16199680;898346271;104;312;104;0;0;521;878698;0;0;0;0;0;15549370;4782187;257292;0;0;0.01379266;
07-07 15:56:29.022  1387  1433 I Unity   : [STATISTIC]312;12522031;0;12521250;742658048;16199680;898656011;0;0;0;0;0;0;0;0;0;0;0;0;13944218;3652761;592239;0;0;0.01252766;
07-07 15:56:29.036  1387  1433 I Unity   : [STATISTIC]313;15564895;0;15564271;742658048;16199680;898682635;156;209;365;0;0;417;1309324;0;0;0;0;0;29527551;5706406;400573;0;0;0.01557651;
