
07-04 18:19:57.475  8197  8218 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-04 18:19:57.527  8197  8218 I Unity   : [STATISTIC]302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01426714;
07-04 18:19:57.552  8197  8218 I Unity   : [STATISTIC]303;0;0;0;715870208;16044032;860390015;0;0;0;0;0;0;0;0;0;0;0.01426714;
07-04 18:19:57.822  8197  8218 I Unity   : [STATISTIC]304;277461615;0;277460990;719761408;16044032;860390015;0;0;0;0;0;0;0;0;0;0;0.02;
07-04 18:19:57.834  8197  8218 I Unity   : [STATISTIC]305;15915417;0;15914896;721383424;16044032;860390015;366;468;416;0;0;1094;5948021;0;0;0;0.01592635;
07-04 18:19:57.842  8197  8218 I Unity   : [STATISTIC]306;5401771;0;5401302;721383424;16044032;860390015;365;313;104;0;0;938;759324;0;0;0;0.005410365;
07-04 18:19:57.862  8197  8218 I Unity   : [STATISTIC]307;7877969;0;7877604;721641472;16044032;860390015;0;0;0;0;0;0;0;0;0;0;0.007883333;
07-04 18:19:57.876  8197  8218 I Unity   : [STATISTIC]308;20608646;0;20608229;730869760;16044032;900723327;0;0;0;0;0;0;0;0;0;0;0.02056714;
07-04 18:19:57.889  8197  8218 I Unity   : [STATISTIC]309;14969427;0;14969011;730882048;16044032;900727423;573;59062;625;0;0;1406;1550417;0;0;0;0.01502797;
07-04 18:19:57.904  8197  8218 I Unity   : [STATISTIC]310;12219687;0;12219010;728956928;16044032;898190623;0;0;0;0;0;0;0;0;0;0;0.01222849;
07-04 18:19:57.917  8197  8218 I Unity   : [STATISTIC]311;15614375;0;15614010;729919488;16044032;898500255;313;365;782;0;0;677;1105313;0;0;0;0.01562062;
