
07-04 18:25:55.165 14897 14920 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-04 18:25:55.214 14897 14920 I Unity   : [STATISTIC]295;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01388417;
07-04 18:25:55.240 14897 14920 I Unity   : [STATISTIC]296;0;0;0;721805312;15896576;860250751;0;0;0;0;0;0;0;0;0;0;0.01388417;
07-04 18:25:55.507 14897 14920 I Unity   : [STATISTIC]297;276893177;0;276892709;725098496;15896576;860250751;0;0;0;0;0;0;0;0;0;0;0.02;
07-04 18:25:55.519 14897 14920 I Unity   : [STATISTIC]298;16549479;0;16549114;726548480;15896576;860250751;468;469;730;0;0;833;6587501;0;0;0;0.01655813;
07-04 18:25:55.530 14897 14920 I Unity   : [STATISTIC]299;5700938;0;5700573;726810624;15896576;860250751;521;312;156;0;0;834;833698;0;0;0;0.005709531;
07-04 18:25:55.544 14897 14920 I Unity   : [STATISTIC]300;11418073;0;11417500;727072768;15896576;860250751;0;0;0;0;0;0;0;0;0;0;0.01142021;
07-04 18:25:55.562 14897 14920 I Unity   : [STATISTIC]301;13196354;0;13195677;733253632;15896576;896389759;312;625;157;0;0;365;905261;0;0;0;0.01321338;
07-04 18:25:55.577 14897 14920 I Unity   : [STATISTIC]302;18017760;0;18017448;736743424;15896576;900584063;0;0;0;0;0;0;0;0;0;0;0.01802635;
07-04 18:25:55.590 14897 14920 I Unity   : [STATISTIC]303;16569011;0;16568021;736747520;15896576;900588159;625;208;104;0;0;677;1307916;0;0;0;0.01657151;
07-04 18:25:55.603 14897 14920 I Unity   : [STATISTIC]304;11912188;0;11911927;734777344;15896576;898051359;313;156;468;0;0;989;1017396;0;0;0;0.01193516;
07-04 18:25:55.619 14897 14920 I Unity   : [STATISTIC]305;13267396;0;13267031;735739904;15896576;898352799;417;573;104;0;0;781;1038385;0;0;0;0.01327698;
07-04 18:25:55.634 14897 14920 I Unity   : [STATISTIC]306;16101250;0;16100417;735739904;15896576;898379423;104;104;365;0;0;1302;1438593;0;0;0;0.01609859;
07-04 18:25:55.645 14897 14920 I Unity   : [STATISTIC]307;14790156;0;14789844;736346112;15896576;898379423;260;157;156;0;0;208;820000;0;0;0;0.01482927;
07-04 18:25:55.660 14897 14920 I Unity   : [STATISTIC]308;10145573;0;10145157;737673216;15896576;898379423;260;156;104;0;0;208;923906;0;0;0;0.01015526;
07-04 18:25:55.674 14897 14920 I Unity   : [STATISTIC]309;14034739;0;14034375;738181120;15896576;898379423;0;0;0;0;0;0;0;0;0;0;0.01404474;
07-04 18:25:55.687 14897 14920 I Unity   : [STATISTIC]310;16350364;0;16349896;738652160;15896576;898379423;261;208;105;0;0;208;1345729;0;0;0;0.01634849;
07-04 18:25:55.701 14897 14920 I Unity   : [STATISTIC]311;21907500;0;21906979;739672064;15896576;898387615;1874739;1355364;228802;0;0;1771;8697917;0;0;27;0.02192984;
07-04 18:25:55.715 14897 14920 I Unity   : [STATISTIC]312;5364166;0;5363854;739930112;15896576;898387615;21407;44687;165885;0;0;990;2541875;58281;0;27;0.005372708;
07-04 18:25:55.730 14897 14920 I Unity   : [STATISTIC]313;12914739;0;12914323;739930112;15896576;898387615;0;0;0;0;0;0;0;0;0;27;0.0129088;
07-04 18:25:55.742 14897 14920 I Unity   : [STATISTIC]314;16343646;0;16343334;740159488;15896576;898387615;14063;43021;72605;0;0;1459;1819792;0;0;27;0.01637198;
