
07-05 15:16:25.017  8060  8082 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);GhostUpdateSystem:UpdateJob (Burst);Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-05 15:16:25.074  8060  8082 I Unity   : [STATISTIC]300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01389104;
07-05 15:16:25.099  8060  8082 I Unity   : [STATISTIC]301;0;0;0;728780800;15986688;860332671;0;0;0;0;0;0;0;0;0;50951511;4489531;0;0;0;0.01389104;
07-05 15:16:25.370  8060  8082 I Unity   : [STATISTIC]302;279108698;0;279108125;731885568;15986688;860332671;0;0;0;0;0;0;0;0;0;814444325;2248333;250008749;0;0;0.02;
07-05 15:16:25.382  8060  8082 I Unity   : [STATISTIC]303;15960052;0;15959688;733749248;15986688;860332671;729;313;469;0;0;990;6325989;0;0;28748751;77448;680208;0;0;0.01597078;
07-05 15:16:25.389  8060  8082 I Unity   : [STATISTIC]304;4988177;0;4987813;733749248;15986688;860332671;0;0;0;0;0;0;0;0;0;8356041;56250;348125;0;0;0.004998021;
07-05 15:16:25.403  8060  8082 I Unity   : [STATISTIC]305;8882136;0;8881615;734547968;15986688;860332671;104;313;365;0;0;521;1011510;0;0;16426826;3412813;303125;0;0;0.008888646;
07-05 15:16:25.422  8060  8082 I Unity   : [STATISTIC]306;12534115;0;12533750;740331520;15986688;896471679;0;0;0;0;0;0;0;0;0;12199375;9410261;479792;0;0;0.0125424;
07-05 15:16:25.435  8060  8082 I Unity   : [STATISTIC]307;21599323;0;21598854;743817216;15986688;900665983;677;833;312;0;0;468;1711719;0;0;59383488;16011563;566771;0;0;0.02160177;
07-05 15:16:25.450  8060  8082 I Unity   : [STATISTIC]308;12744636;0;12744218;743821312;15986688;900670079;364;364;209;0;0;521;1430000;0;0;23078755;7528697;665782;0;0;0.01277219;
07-05 15:16:25.464  8060  8082 I Unity   : [STATISTIC]309;13309791;0;13309479;741916672;15986688;898133279;157;209;260;0;0;572;989791;0;0;25773490;4355990;350469;0;0;0.01333281;
07-05 15:16:25.479  8060  8082 I Unity   : [STATISTIC]310;13737552;0;13737136;742907904;15986688;898442911;157;364;260;0;0;677;943021;0;0;15500936;2708177;322969;0;0;0.0137451;
07-05 15:16:25.494  8060  8082 I Unity   : [STATISTIC]311;15038802;0;15038282;742907904;15986688;898469535;156;365;260;0;0;781;944062;0;0;29264066;6662604;290625;0;0;0.01504896;
07-05 15:16:25.507  8060  8082 I Unity   : [STATISTIC]312;14737865;0;14737396;743301120;15986688;898469535;313;313;261;0;0;573;809271;0;0;1318854;9064531;252344;0;0;0.01474661;
07-05 15:16:25.520  8060  8082 I Unity   : [STATISTIC]313;13248073;0;13247552;744955904;15986688;898469535;156;261;312;0;0;364;883750;0;0;13199427;8760052;302292;0;0;0.01325646;
07-05 15:16:25.534  8060  8082 I Unity   : [STATISTIC]314;12014480;0;12013958;744955904;15986688;898469535;0;0;0;0;0;0;0;0;0;23168594;9359531;379791;0;0;0.01202391;
07-05 15:16:25.547  8060  8082 I Unity   : [STATISTIC]315;16571719;0;16571041;745545728;15986688;898469535;209;468;521;0;0;625;1640572;0;0;41851615;11270886;471979;0;0;0.01657401;
07-05 15:16:25.561  8060  8082 I Unity   : [STATISTIC]316;21952083;0;21951666;746471424;15986688;898477727;1971666;1344375;252187;0;0;1927;8978645;0;0;40147861;1109427;1362344;0;27;0.02196672;
07-05 15:16:25.575  8060  8082 I Unity   : [STATISTIC]317;4815364;0;4815000;746471424;15986688;898477727;12448;25729;95416;0;0;1094;2065677;0;0;7561664;38802;279323;0;27;0.004822604;
07-05 15:16:25.588  8060  8082 I Unity   : [STATISTIC]318;15586041;0;15585573;746766336;15986688;898477727;22292;54166;165208;0;0;1042;2289687;0;0;18864683;9262709;488645;0;27;0.01559182;
07-05 15:16:25.601  8060  8082 I Unity   : [STATISTIC]319;12647657;0;12647291;746766336;15986688;898477727;21667;68802;115520;0;0;1563;2343437;0;0;16194896;6284115;695781;0;27;0.01264557;
07-05 15:16:25.618  8060  8082 I Unity   : [STATISTIC]320;9666562;0;9665990;746766336;15986688;898477727;0;0;0;0;0;0;0;0;0;18065466;6717917;373489;0;27;0.009750417;
07-05 15:16:25.631  8060  8082 I Unity   : [STATISTIC]321;19367708;0;19367084;746766336;15986688;898477727;11041;35365;48177;0;0;1041;1343750;0;0;37652238;14152187;334010;0;27;0.01939391;
07-05 15:16:25.645  8060  8082 I Unity   : [STATISTIC]322;11798177;0;11797864;747016192;15986688;898477727;10729;37292;63229;0;0;1302;1328489;0;0;22305101;7036146;405104;0;27;0.01182859;
07-05 15:16:25.658  8060  8082 I Unity   : [STATISTIC]323;14773177;0;14772812;747016192;15986688;898477727;11875;37552;92136;0;0;990;1781824;0;0;28337444;9528073;356093;0;27;0.0147812;
07-05 15:16:25.673  8060  8082 I Unity   : [STATISTIC]324;11765938;0;11765520;747016192;15986688;898477727;7761;27239;52500;0;0;625;1025886;0;0;22162966;7808594;315364;0;27;0.0117887;
07-05 15:16:25.688  8060  8082 I Unity   : [STATISTIC]325;15092031;0;15091771;747016192;15986688;898477727;0;0;0;0;0;0;0;0;0;29128440;11339844;619531;0;27;0.01509614;
07-05 15:16:25.701  8060  8082 I Unity   : [STATISTIC]326;16750573;0;16750260;747016192;15986688;898477727;16667;48021;99010;0;0;1250;2104844;0;0;19863179;10441979;528698;0;27;0.01677453;
07-05 15:16:25.713  8060  8082 I Unity   : [STATISTIC]327;13499844;0;13499479;747274240;15986688;898477835;13802;42292;74791;0;0;1771;1817604;0;0;16767342;7565833;507448;0;27;0.01350698;
07-05 15:16:25.729  8060  8082 I Unity   : [STATISTIC]328;9477604;0;9477292;747274240;15986688;898477835;9323;45416;54270;0;0;1354;1176978;0;0;17361140;5271146;327656;0;27;0.009503437;
07-05 15:16:25.741  8060  8082 I Unity   : [STATISTIC]329;17018646;0;17018177;747274240;15986688;898477835;12813;41354;73073;0;0;1510;1599635;0;0;32753543;11696042;407396;0;27;0.01701953;
07-05 15:16:25.755  8060  8082 I Unity   : [STATISTIC]330;13517500;0;13516927;747274240;15986688;898477943;17083;49844;307916;0;0;1302;2293074;0;0;16602553;7622968;453646;0;27;0.01354281;
07-05 15:16:25.770  8060  8082 I Unity   : [STATISTIC]331;11680677;0;11680417;747524096;15986688;898477943;10208;32656;52396;0;0;989;1237604;0;0;21686619;7181198;315156;0;27;0.0116962;
07-05 15:16:25.785  8060  8082 I Unity   : [STATISTIC]332;13980417;0;13979895;747524096;15986688;898477943;0;0;0;0;0;0;0;0;0;15227035;10959219;434427;0;27;0.01399927;
07-05 15:16:25.798  8060  8082 I Unity   : [STATISTIC]333;17286145;0;17285469;747524096;15986688;898477943;12395;38646;76355;0;0;1667;1564584;0;0;19990159;12206718;438386;0;27;0.0172975;
07-05 15:16:25.817  8060  8082 I Unity   : [STATISTIC]334;11181666;0;11181198;747524096;15986688;897429367;9636;30781;52344;0;0;729;1152447;0;0;13028378;7255209;293542;0;27;0.01122771;
07-05 15:16:25.830  8060  8082 I Unity   : [STATISTIC]335;20467344;0;20466823;747524096;15986688;897429367;16666;51562;111614;0;0;1302;1678646;0;0;39785000;15359531;426459;0;27;0.02047302;
07-05 15:16:25.843  8060  8082 I Unity   : [STATISTIC]336;14057344;0;14056979;747524096;15986688;897429367;11198;52031;75104;0;0;1042;2010207;0;0;17849997;7771979;392969;0;27;0.01405922;
07-05 15:16:25.860  8060  8082 I Unity   : [STATISTIC]337;11708906;0;11708438;747524096;15986688;897429367;9062;44323;46146;0;0;781;1312238;0;0;12752187;7261614;279427;0;27;0.01173963;
07-05 15:16:25.875  8060  8082 I Unity   : [STATISTIC]338;18496041;0;18495469;747778048;15986688;897429367;11615;42343;74218;0;0;365;1516301;0;0;54071513;11749427;396511;0;27;0.01850375;
07-05 15:16:25.888  8060  8082 I Unity   : [STATISTIC]339;12893073;0;12892604;747778048;15986688;897429367;9583;37813;49792;0;0;885;1213803;0;0;24330888;8020261;371146;0;27;0.01291037;
07-05 15:16:25.903  8060  8082 I Unity   : [STATISTIC]340;12327083;0;12326719;747806720;15986688;897429367;0;0;0;0;0;0;0;0;0;24060884;9186458;544844;0;27;0.01234073;
07-05 15:16:25.916  8060  8082 I Unity   : [STATISTIC]341;17079791;0;17079271;747806720;15986688;897429367;15625;53802;78750;0;0;885;1600625;0;0;19721978;12014688;433438;0;27;0.01708375;
07-05 15:16:25.930  8060  8082 I Unity   : [STATISTIC]342;11139688;0;11139375;747806720;15986688;897429367;12292;30521;56979;0;0;1354;1122448;0;0;11878854;6953385;398281;0;27;0.01117078;
07-05 15:16:25.944  8060  8082 I Unity   : [STATISTIC]343;15113177;0;15112813;747872256;15986688;897429367;8542;33281;54531;0;0;1042;1301042;0;0;17373023;10695260;298386;0;27;0.01511573;
07-05 15:16:25.957  8060  8082 I Unity   : [STATISTIC]344;14833542;0;14832864;747872256;15986688;897429367;14688;44166;73125;0;0;1458;1775208;0;0;17402604;9028177;527447;0;27;0.01489484;
07-05 15:16:25.972  8060  8082 I Unity   : [STATISTIC]345;11080729;0;11080261;747872256;15986688;897429367;8021;31250;45990;0;0;1042;1205730;0;0;12970834;7038698;268438;0;27;0.01109135;
07-05 15:16:25.987  8060  8082 I Unity   : [STATISTIC]346;14510260;0;14509896;747872256;15986688;897429367;0;0;0;0;0;0;0;0;0;28335673;10942553;702448;0;27;0.01451443;
07-05 15:16:26.000  8060  8082 I Unity   : [STATISTIC]347;15398072;0;15397656;747872256;15986688;897429367;9270;31719;50521;0;0;625;1389218;0;0;17555938;10872135;322240;0;27;0.01545219;
07-05 15:16:26.015  8060  8082 I Unity   : [STATISTIC]348;13237135;0;13236823;748109824;15986688;897429367;10990;36979;49688;0;0;1094;1221874;0;0;25297294;8804896;342031;0;27;0.01324307;
