Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,NFE Snapshot Tick,NFE Snapshot Size (bits),NFE RTT,NFE Jitter,Multiplay FPS,Multiplay BitRate In,Multiplay BitRate Out,Multiplay RTT(ms),Multiplay PacketLoss,Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server),Number of Terrain Areas (Client),dtime,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
3,0,632016896,14188544,761356535,0,0,0,0,0,0,0,0,0,2,
4,286897604,635334656,14188544,761356535,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
5,10928802,635981824,14188544,761356535,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
6,8831719,636362752,14188544,761356535,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
7,36658333,636628992,14188544,761356535,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
8,6162136,637808640,14188544,794910967,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
9,71111354,723697664,14188544,885653751,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
10,14412552,722378752,14188544,883170199,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
11,11797240,723505152,14188544,883438979,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
12,33364792,723505152,14188544,883457411,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
13,4773281,723505152,14188544,883457411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,14193282,724598784,14188544,883457411,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
15,22527500,725155840,14188544,883457411,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
16,13815834,725983232,14188544,883457411,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
17,28970052,726855680,14188544,883465603,0,0,0,0,0,0,0,0,0,27,0,0,0,3,
18,71598333,718147584,14188544,885703875,0,0,0,0,0,0,0,0,0,27,0,0,0,7,
19,9492709,718737408,14188544,1312539843,0,0,0,0,0,0,0,0,0,27,0,0,0,1,
20,6162552,719290368,14188544,1312539843,0,0,21,0,0,0,0,0,0,27,0,0,0,1,
21,11041459,719708160,14188544,1312539843,0,0,21,0,0,0,0,0,0,27,0,0,0,1,
22,27928490,720343040,14188544,1312539843,2395,0,22,1,0,0,0,0,0,27,0,0,0,3,
23,256520312,750215168,14188544,1323074851,2396,50,20,4,0,0,0,0,0,27,0,0,1,26,
24,10103281,750845952,14188544,1323087203,2397,49398,18,5,0,0,0,0,0,27,0,0,1,1,
25,10489739,756957184,14188544,1333589379,2397,49398,18,5,0,0,0,0,0,27,0,0,2,1,
26,11264635,757772288,14188544,1333589379,2398,49450,18,5,0,0,0,0,0,27,0,0,2,1,
27,42716094,758226944,14188544,1333589379,2398,49450,15,20,0,0,0,0,0,27,0,0,2,4,
28,8592187,758837248,14188544,1333589379,2398,49450,15,20,0,0,0,0,0,27,0,0,2,1,
29,22985208,759689216,14188544,1333478883,2398,49450,15,20,0,0,0,0,0,27,1,0,2,2,
30,12233230,760565760,14188544,1333499427,2417,190,15,20,0,0,0,0,0,27,1,0,2,1,
31,10878177,765325312,14188544,1354475075,2418,33,20,24,0,0,0,0,0,27,1,0,2,1,
32,16596198,769728512,14188544,1364960835,2418,33,20,24,0,0,0,0,0,27,1,0,2,2,
33,14173229,774328320,14188544,1369155139,2420,54012,25,20,0,0,0,0,0,27,1,0,2,1,
34,13625156,774582272,14188544,1369155139,2421,49399,25,16,0,0,0,0,0,27,1,0,2,1,
35,13300000,774975488,14188544,1369155139,2422,54530,26,13,0,0,0,0,0,27,1,0,2,1,
36,16948281,777633792,14188544,1369182159,2423,53817,26,10,0,0,0,0,0,27,1,0,3,2,
37,14518594,780087296,14188544,1385967567,2424,54327,26,7,0,0,0,0,0,27,1,0,4,1,
38,11277083,782897152,14188544,1386021743,2425,49405,24,8,0,0,0,0,0,27,1,0,5,1,
39,13238125,785690624,14188544,1386082299,2425,49405,24,8,0,0,0,0,0,27,1,0,6,1,
40,15480156,788287488,14188544,1386098875,2426,54249,23,9,0,0,0,0,0,27,1,0,7,2,
41,13874062,790978560,14188544,1386111451,2427,54189,22,7,0,0,0,0,0,27,1,0,8,1,
42,13564115,793989120,14188544,1386147019,2428,49382,23,6,0,0,0,0,0,27,1,0,9,1,
43,13042239,796368896,14188544,1402965459,2428,49382,23,6,0,0,0,0,0,27,1,0,10,1,
44,12973229,794501120,14188544,1402978131,2429,103124,23,4,0,0,0,0,0,27,1,0,10,1,
45,14717708,796872704,14188544,1403007251,2431,49378,20,6,0,0,0,0,0,27,1,0,11,1,
46,15006250,799465472,14188544,1403061387,2431,49378,20,6,0,0,0,0,0,27,1,0,12,2,
47,12444011,802238464,14188544,1403151611,2431,49378,20,6,0,0,0,0,0,27,1,0,13,1,
48,13702657,804835328,14188544,1403184859,2432,54648,20,4,0,0,0,0,0,27,1,0,14,1,
49,14717344,805253120,14188544,1403166511,2434,49580,22,4,0,0,0,0,0,27,1,0,14,1,
50,11416146,807993344,14188544,1403236087,2435,49445,22,3,0,0,0,0,0,27,1,0,15,1,
51,13287448,808173568,14188544,1403240471,2435,49445,22,3,0,0,0,0,0,27,1,0,15,1,
52,14654791,810934272,14188544,1420034647,2436,55086,22,3,0,0,0,0,0,27,1,0,16,1,
