
07-09 11:34:46.456 22610 22633 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);SetAreaNeighborsJob;GhostUpdateSystem:UpdateJob (Burst);GhostUpdateJobCustom;GhostUpdateSystem:UpdateJob;Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-09 11:34:46.515 22610 22633 I Unity   : [STATISTIC]298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01376469;
07-09 11:34:46.541 22610 22633 I Unity   : [STATISTIC]299;0;0;0;724426752;12460032;856814207;0;0;0;0;0;0;0;0;0;0;0;0;0;9894844;0;0;0;0.01376469;
07-09 11:34:46.808 22610 22633 I Unity   : [STATISTIC]300;275839271;0;275838749;728154112;12460032;856814207;0;0;0;0;0;0;0;0;0;0;0;0;0;1000937;246157604;0;0;0.02;
07-09 11:34:46.821 22610 22633 I Unity   : [STATISTIC]301;17134479;0;17133854;729903104;12460032;856814207;469;624;365;0;0;624;6772082;0;0;0;0;0;0;93333;629531;0;0;0.01714651;
07-09 11:34:46.832 22610 22633 I Unity   : [STATISTIC]302;5764947;0;5764583;729903104;12460032;856814207;313;365;104;0;0;781;774740;0;0;0;0;0;0;48177;237448;0;0;0.005772969;
07-09 11:34:46.851 22610 22633 I Unity   : [STATISTIC]303;10957760;0;10957239;730423296;12460032;856814315;0;0;0;0;0;0;0;0;0;0;0;0;0;6272552;407344;0;0;0.01096427;
07-09 11:34:46.865 22610 22633 I Unity   : [STATISTIC]304;19393959;0;19393645;739536896;12460032;897147627;365;312;156;0;0;209;829478;0;0;0;0;0;0;15597917;266459;0;0;0.01940448;
07-09 11:34:46.878 22610 22633 I Unity   : [STATISTIC]305;14560781;0;14560312;737669120;12460032;894614923;573;156;312;0;0;833;1015834;0;0;0;0;0;0;5142969;310313;0;0;0.01456589;
07-09 11:34:46.892 22610 22633 I Unity   : [STATISTIC]306;12776146;0;12775677;738615296;12460032;894916471;364;156;261;0;0;833;1076823;0;0;0;0;0;0;2066458;331458;0;0;0.01278656;
07-09 11:34:46.908 22610 22633 I Unity   : [STATISTIC]307;13707344;0;13706823;738615296;12460032;894943095;0;0;0;0;0;0;0;0;0;0;0;0;0;5676302;391823;0;0;0.01371104;
