
07-09 11:43:47.922   728   775 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);SetAreaNeighborsJob;GhostUpdateSystem:UpdateJob (Burst);GhostUpdateJobCustom;GhostUpdateSystem:UpdateJob;Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-09 11:43:47.978   728   775 I Unity   : [STATISTIC]299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01334969;
07-09 11:43:48.005   728   775 I Unity   : [STATISTIC]300;0;0;0;727846912;15867904;860213887;0;0;0;0;0;0;0;0;0;0;0;0;0;3216563;0;0;0;0.01334969;
07-09 11:43:48.278   728   775 I Unity   : [STATISTIC]301;282015938;0;282015416;731299840;15867904;860213887;0;0;0;0;0;0;0;0;0;0;0;0;0;3135781;250305677;0;0;0.02;
07-09 11:43:48.290   728   775 I Unity   : [STATISTIC]302;16627187;0;16626771;732712960;15867904;860213887;520;364;417;0;0;625;6243281;0;0;0;0;0;0;110833;557812;0;0;0.01663755;
07-09 11:43:48.297   728   775 I Unity   : [STATISTIC]303;5210781;0;5210312;732979200;15867904;860213887;0;0;0;0;0;0;0;0;0;0;0;0;0;52761;330625;0;0;0.005219323;
07-09 11:43:48.309   728   775 I Unity   : [STATISTIC]304;8193906;0;8193437;733241344;15867904;860213887;365;313;260;0;0;677;845782;0;0;0;0;0;0;3221718;238334;0;0;0.008197865;
07-09 11:43:48.327   728   775 I Unity   : [STATISTIC]305;11264271;0;11263802;738291712;15867904;896352895;0;0;0;0;0;0;0;0;0;0;0;0;0;8097500;433802;0;0;0.0112775;
07-09 11:43:48.341   728   775 I Unity   : [STATISTIC]306;20092917;0;20092396;742957056;15867904;900547199;417;156;260;0;0;573;1122187;0;0;0;0;0;0;15487760;320625;0;0;0.02009656;
07-09 11:43:48.354   728   775 I Unity   : [STATISTIC]307;13754739;0;13754115;740950016;15867904;898014495;416;157;365;0;0;729;1072396;0;0;0;0;0;0;4998333;318177;0;0;0.01376693;
07-09 11:43:48.369   728   775 I Unity   : [STATISTIC]308;12479844;0;12479479;741933056;15867904;898324235;364;365;104;0;0;625;1005885;0;0;0;0;0;0;2814270;291562;0;0;0.01249031;
07-09 11:43:48.384   728   775 I Unity   : [STATISTIC]309;14835625;0;14834948;741933056;15867904;898350859;313;313;417;0;0;730;957135;0;0;0;0;0;0;6569688;282656;0;0;0.01484531;
07-09 11:43:48.397   728   775 I Unity   : [STATISTIC]310;14992761;0;14992291;742584320;15867904;898350859;313;208;573;0;0;416;853646;0;0;0;0;0;0;9415677;267656;0;0;0.01500099;
07-09 11:43:48.412   728   775 I Unity   : [STATISTIC]311;12644219;0;12643802;743358464;15867904;898350859;209;156;469;0;0;1041;842761;0;0;0;0;0;0;8900469;257865;0;0;0.01265417;
07-09 11:43:48.425   728   775 I Unity   : [STATISTIC]312;13707187;0;13706771;743936000;15867904;898350859;0;0;0;0;0;0;0;0;0;0;0;0;0;10848646;366042;0;0;0.01371417;
07-09 11:43:48.439   728   775 I Unity   : [STATISTIC]313;14961250;0;14960782;744706048;15867904;898350859;417;312;469;0;0;573;1021250;0;0;0;0;0;0;11035156;276146;0;0;0.0149713;
07-09 11:43:48.453   728   775 I Unity   : [STATISTIC]314;23286406;0;23286093;745689088;15867904;897310475;1797395;1351406;198177;0;0;1563;8372292;0;0;0;0;0;0;3891563;1200365;0;27;0.02329745;
07-09 11:43:48.466   728   775 I Unity   : [STATISTIC]315;4810990;0;4810573;745926656;15867904;897310475;10364;21250;82291;0;0;938;1904897;0;0;0;0;0;0;399010;250989;0;27;0.004818855;
07-09 11:43:48.481   728   775 I Unity   : [STATISTIC]316;13225417;0;13225000;745926656;15867904;897310475;13750;82396;106667;0;0;625;1322865;0;0;0;0;0;0;9107291;321406;0;27;0.01323089;
07-09 11:43:48.493   728   775 I Unity   : [STATISTIC]317;15851093;0;15850208;746156032;15867904;897310475;11927;54688;79532;0;0;782;1746771;0;0;0;0;0;0;9954687;512865;0;27;0.01585182;
07-09 11:43:48.508   728   775 I Unity   : [STATISTIC]318;9835209;0;9834792;746156032;15867904;897310475;0;0;0;0;0;0;0;0;0;0;0;0;0;6006667;345886;0;27;0.00985901;
07-09 11:43:48.522   728   775 I Unity   : [STATISTIC]319;16388698;0;16388385;746156032;15867904;897310475;7708;38021;49895;0;0;1302;1174375;0;0;0;0;0;0;11883490;303646;0;27;0.01642443;
07-09 11:43:48.536   728   775 I Unity   : [STATISTIC]320;13462291;0;13461927;746156032;15867904;897310475;6459;29531;47187;0;0;729;1092863;0;0;0;0;0;0;9268229;277916;0;27;0.01348604;
07-09 11:43:48.549   728   775 I Unity   : [STATISTIC]321;15229583;0;15229271;746393600;15867904;897310475;8594;35365;69323;0;0;781;1545833;0;0;0;0;0;0;10058385;468802;0;27;0.01523187;
07-09 11:43:48.563   728   775 I Unity   : [STATISTIC]322;12270260;0;12269896;746393600;15867904;897310475;7083;25938;48125;0;0;1146;1239740;0;0;0;0;0;0;7473385;366094;0;27;0.01229885;
07-09 11:43:48.578   728   775 I Unity   : [STATISTIC]323;13436667;0;13436198;746393600;15867904;897310475;6615;36927;50781;0;0;1042;1090938;0;0;0;0;0;0;9406563;294271;0;27;0.01345839;
07-09 11:43:48.592   728   775 I Unity   : [STATISTIC]324;14411407;0;14410937;746393600;15867904;897310475;0;0;0;0;0;0;0;0;0;0;0;0;0;10655729;580312;0;27;0.01441297;
07-09 11:43:48.604   728   775 I Unity   : [STATISTIC]325;15770052;0;15769375;746393600;15867904;897310475;12656;40781;62813;0;0;1094;1619167;0;0;0;0;0;0;10151459;431198;0;27;0.01578188;
07-09 11:43:48.619   728   775 I Unity   : [STATISTIC]326;10907917;0;10907500;746635264;15867904;897310475;7448;26250;42240;0;0;417;1023957;0;0;0;0;0;0;6707969;264896;0;27;0.01093901;
07-09 11:43:48.633   728   775 I Unity   : [STATISTIC]327;15321979;0;15321615;746635264;15867904;897310475;13646;30833;60677;0;0;1562;1376718;0;0;0;0;0;0;10861041;339479;0;27;0.01534922;
07-09 11:43:48.647   728   775 I Unity   : [STATISTIC]328;15667136;0;15666406;746635264;15867904;897310475;12760;45469;64635;0;0;1302;1833334;0;0;0;0;0;0;9388698;405000;0;27;0.01566333;
07-09 11:43:48.661   728   775 I Unity   : [STATISTIC]329;11147864;0;11147552;746635264;15867904;897179403;7083;28802;42916;0;0;468;983801;0;0;0;0;0;0;7214843;258802;0;27;0.01118578;
07-09 11:43:48.676   728   775 I Unity   : [STATISTIC]330;13914896;0;13914271;746876928;15867904;897179403;0;0;0;0;0;0;0;0;0;0;0;0;0;10439479;442291;0;27;0.01391474;
07-09 11:43:48.688   728   775 I Unity   : [STATISTIC]331;16004166;0;16003698;746876928;15867904;897179403;25573;46042;105782;0;0;1615;1876668;0;0;0;0;0;0;10823646;474271;0;27;0.01604422;
07-09 11:43:48.701   728   775 I Unity   : [STATISTIC]332;12641614;0;12640989;746876928;15867904;897179403;14114;37396;78021;0;0;834;1602084;0;0;0;0;0;0;7629219;501719;0;27;0.01264781;
07-09 11:43:48.721   728   775 I Unity   : [STATISTIC]333;14047292;0;14046615;746876928;15867904;897179403;26511;53646;116771;0;0;781;1920155;0;0;0;0;0;0;8218542;655416;0;27;0.01405672;
07-09 11:43:48.735   728   775 I Unity   : [STATISTIC]334;18548386;0;18547968;747106304;15867904;897179403;22968;42032;74635;0;0;1094;1630573;0;0;0;0;0;0;12882604;561927;0;27;0.01859115;
07-09 11:43:48.749   728   775 I Unity   : [STATISTIC]335;14481511;0;14481042;747106304;15867904;897179403;29063;65313;116406;0;0;1250;1917917;0;0;0;0;0;0;8607552;479219;0;27;0.01449354;
07-09 11:43:48.765   728   775 I Unity   : [STATISTIC]336;12867813;0;12867396;747106304;15867904;897179403;11875;34427;53177;0;0;1042;1099219;0;0;0;0;0;0;8724062;308438;0;27;0.0128926;
07-09 11:43:48.779   728   775 I Unity   : [STATISTIC]337;17065729;0;17065104;747106304;15867904;897179403;0;0;0;0;0;0;0;0;0;0;0;0;0;11673542;610782;0;27;0.01707771;
07-09 11:43:48.794   728   775 I Unity   : [STATISTIC]338;12937344;0;12936875;747106304;15867904;897179403;10885;35625;71511;0;0;1511;1217552;0;0;0;0;0;0;8652395;299791;0;27;0.01295161;
07-09 11:43:48.808   728   775 I Unity   : [STATISTIC]339;14797604;0;14797135;747106304;15867904;897179403;8959;32031;43020;0;0;1302;1024532;0;0;0;0;0;0;10525260;297813;0;27;0.01480745;
07-09 11:43:48.822   728   775 I Unity   : [STATISTIC]340;13806771;0;13806354;747106304;15867904;897179403;9635;29219;46719;0;0;364;1136094;0;0;0;0;0;0;9694584;299271;0;27;0.01381797;
07-09 11:43:48.836   728   775 I Unity   : [STATISTIC]341;14407135;0;14406614;746958848;15867904;897179403;9947;33021;53073;0;0;781;1268698;0;0;0;0;0;0;10008855;287968;0;27;0.0144151;
07-09 11:43:48.850   728   775 I Unity   : [STATISTIC]342;13493802;0;13493281;747274240;15867904;897179403;10260;30834;50468;0;0;625;1128750;0;0;0;0;0;0;9271980;311042;0;27;0.01350484;
07-09 11:43:48.863   728   775 I Unity   : [STATISTIC]343;14846614;0;14846146;747274240;15867904;897179403;10468;35573;68646;0;0;1354;1424220;0;0;0;0;0;0;9749427;419531;0;27;0.01484979;
07-09 11:43:48.877   728   775 I Unity   : [STATISTIC]344;12309948;0;12309687;747274240;15867904;897179403;9688;33697;99479;0;0;1354;1284375;0;0;0;0;0;0;7756979;276302;0;27;0.0123525;
07-09 11:43:48.892   728   775 I Unity   : [STATISTIC]345;13734896;0;13734427;747274240;15867904;897179403;0;0;0;0;0;0;0;0;0;0;0;0;0;10123281;510625;0;27;0.01374318;
07-09 11:43:48.907   728   775 I Unity   : [STATISTIC]346;15210468;0;15210000;747515904;15867904;897179403;11406;35729;48437;0;0;1354;1300104;0;0;0;0;0;0;10805937;309323;0;27;0.01522214;
07-09 11:43:48.922   728   775 I Unity   : [STATISTIC]347;15350052;0;15349636;747515904;15867904;897179403;9427;30260;45677;0;0;1146;1053437;0;0;0;0;0;0;11268645;278698;0;27;0.01536203;
07-09 11:43:48.934   728   775 I Unity   : [STATISTIC]348;15948489;0;15948073;747515904;15867904;897179403;13333;47240;74271;0;0;1875;1752031;0;0;0;0;0;0;10034166;427032;0;27;0.01596141;
07-09 11:43:48.948   728   775 I Unity   : [STATISTIC]349;12600156;0;12599062;747515904;15867904;897179403;12083;48593;68021;0;0;1302;1846250;0;0;0;0;0;0;6624479;447240;0;27;0.01259609;
07-09 11:43:48.963   728   775 I Unity   : [STATISTIC]350;12261250;0;12260781;747749376;15867904;897179403;9948;41094;59479;0;0;1250;1150782;0;0;0;0;0;0;7390989;298437;0;27;0.01230323;
07-09 11:43:48.977   728   775 I Unity   : [STATISTIC]351;13664531;0;13663802;747749376;15867904;897179403;0;0;0;0;0;0;0;0;0;0;0;0;0;10350209;484687;0;27;0.01367604;
07-09 11:43:48.990   728   775 I Unity   : [STATISTIC]352;17873333;0;17872917;747749376;15867904;897179403;15209;50312;101511;0;0;1510;2127291;0;0;0;0;0;0;10529271;584062;0;27;0.01788557;
07-09 11:43:49.005   728   775 I Unity   : [STATISTIC]353;11016355;0;11015833;747749376;15867904;897179403;8490;34010;49271;0;0;1354;1144217;0;0;0;0;0;0;6546510;373437;0;27;0.01102286;
07-09 11:43:49.018   728   775 I Unity   : [STATISTIC]354;14428385;0;14427917;747749376;15867904;897179403;11875;39584;56146;0;0;1198;1324896;0;0;0;0;0;0;9691250;337761;0;27;0.01444016;
07-09 11:43:49.032   728   775 I Unity   : [STATISTIC]355;13446094;0;13445625;747749376;15867904;897179403;9532;34011;73802;0;0;1406;1271405;0;0;0;0;0;0;8699896;415364;0;27;0.01345708;
07-09 11:43:49.046   728   775 I Unity   : [STATISTIC]356;13783073;0;13782604;747929600;15867904;897179403;9792;35208;51250;0;0;1250;1355156;0;0;0;0;0;0;9262969;304167;0;27;0.01379859;
07-09 11:43:49.060   728   775 I Unity   : [STATISTIC]357;12667813;0;12667240;747929600;15867904;897179403;0;0;0;0;0;0;0;0;0;0;0;0;0;9423489;489115;0;27;0.01267786;
07-09 11:43:49.073   728   775 I Unity   : [STATISTIC]358;16073489;0;16072969;747929600;15867904;897179403;11458;39792;84166;0;0;1250;1934271;0;0;0;0;0;0;10635416;419792;0;27;0.01608271;
07-09 11:43:49.131   728   775 I Unity   : [STATISTIC]359;13232500;0;13231979;747929600;15867904;897179403;10886;32760;49584;0;0;1146;1476666;0;0;0;0;0;0;7779948;1055938;0;27;0.01324391;
07-09 11:43:49.157   728   775 I Unity   : [STATISTIC]360;74433229;0;74432656;748904448;15867904;899417675;9479;32240;47031;0;0;1042;1269428;0;0;0;0;0;0;5587032;969427;0;27;0.07444016;
