
07-09 11:46:47.368  6141  6168 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);SetAreaNeighborsJob;GhostUpdateSystem:UpdateJob (Burst);GhostUpdateJobCustom;GhostUpdateSystem:UpdateJob;Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-09 11:46:47.422  6141  6168 I Unity   : [STATISTIC]304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01456583;
07-09 11:46:47.447  6141  6168 I Unity   : [STATISTIC]305;0;0;0;714252288;16105472;860451455;0;0;0;0;0;0;0;0;0;0;0;0;0;80312;0;0;0;0.01456583;
07-09 11:46:47.727  6141  6168 I Unity   : [STATISTIC]306;288750312;0;288749791;718180352;16105472;860451455;0;0;0;0;0;0;0;0;0;0;0;0;0;3109792;256501458;0;0;0.02;
07-09 11:46:47.738  6141  6168 I Unity   : [STATISTIC]307;15929687;0;15929219;719466496;16105472;860451455;365;417;416;0;0;729;5748490;0;0;0;0;0;0;81510;547812;0;0;0.01593984;
07-09 11:46:47.752  6141  6168 I Unity   : [STATISTIC]308;5362761;0;5362344;719466496;16105472;860451455;208;416;104;0;0;781;705834;0;0;0;0;0;0;51666;216250;0;0;0.005371667;
07-09 11:46:47.770  6141  6168 I Unity   : [STATISTIC]309;15383698;0;15382969;719998976;16105472;860451455;0;0;0;0;0;0;0;0;0;0;0;0;0;9403959;658437;0;0;0.01537005;
07-09 11:46:47.783  6141  6168 I Unity   : [STATISTIC]310;16521771;0;16521458;729124864;16105472;900784767;104;364;104;0;0;573;930260;0;0;0;0;0;0;12188177;257343;0;0;0.01656906;
07-09 11:46:47.798  6141  6168 I Unity   : [STATISTIC]311;14029062;0;14028750;729141248;16105472;900788863;209;365;104;0;0;990;963335;0;0;0;0;0;0;9982239;331823;0;0;0.01403594;
07-09 11:46:47.812  6141  6168 I Unity   : [STATISTIC]312;16048385;0;16047761;727216128;16105472;898252063;365;365;104;0;0;1093;1423699;0;0;0;0;0;0;5067344;519167;0;0;0.01604349;
07-09 11:46:47.825  6141  6168 I Unity   : [STATISTIC]313;12092344;0;12092031;728190976;16105472;898561695;521;208;260;0;0;1093;994531;0;0;0;0;0;0;75365;281979;0;0;0.01213115;
07-09 11:46:47.839  6141  6168 I Unity   : [STATISTIC]314;12720364;0;12720052;728190976;16105472;898588319;0;0;0;0;0;0;0;0;0;0;0;0;0;5092448;479479;0;0;0.01272953;
07-09 11:46:47.854  6141  6168 I Unity   : [STATISTIC]315;14512448;0;14512084;728752128;16105472;898588319;105;156;104;0;0;886;780572;0;0;0;0;0;0;9729375;243438;0;0;0.01452198;
07-09 11:46:47.868  6141  6168 I Unity   : [STATISTIC]316;15172656;0;15172240;729755648;16105472;898588319;260;521;677;0;0;521;821562;0;0;0;0;0;0;10975729;255573;0;0;0.01518099;
07-09 11:46:47.882  6141  6168 I Unity   : [STATISTIC]317;13053021;0;13052500;731045888;16105472;898588319;156;365;208;0;0;312;817969;0;0;0;0;0;0;9367969;274323;0;0;0.01306135;
07-09 11:46:47.896  6141  6168 I Unity   : [STATISTIC]318;24690000;0;24689636;732057600;16105472;898596511;1877916;1304219;201094;0;0;990;8715938;0;0;0;0;0;0;4898490;1229323;0;27;0.02469615;
