
06-27 19:03:00.727 10318 10347 I Unity   : [STATISTIC]Frame Number;Main Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;GameServer Opencraft.Terrain.TerrainGenerationSystem;terrainMeshingSys;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
06-27 19:03:00.779 10318 10347 I Unity   : [STATISTIC]299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01357724;
06-27 19:03:00.806 10318 10347 I Unity   : [STATISTIC]300;0;0;651976704;14438400;761475319;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01357724;
06-27 19:03:01.076 10318 10347 I Unity   : [STATISTIC]301;280600417;280599844;655466496;14438400;761475319;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;
06-27 19:03:01.083 10318 10347 I Unity   : [STATISTIC]302;11642708;11642292;655466496;14438400;761475319;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01165412;
06-27 19:03:01.096 10318 10347 I Unity   : [STATISTIC]303;5570052;5569583;655466496;14438400;761475319;0;0;0;0;0;0;0;0;0;0;0;0;0;0.005577864;
06-27 19:03:01.114 10318 10347 I Unity   : [STATISTIC]304;13089531;13089166;655466496;14438400;761475319;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01309057;
06-27 19:03:01.128 10318 10347 I Unity   : [STATISTIC]305;17024791;17024114;664936448;14438400;801808631;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0170438;
06-27 19:03:01.143 10318 10347 I Unity   : [STATISTIC]306;14161875;14161459;664944640;14438400;801812727;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01416547;
06-27 19:03:01.215 10318 10347 I Unity   : [STATISTIC]307;77297396;77296875;740466688;14438400;883276695;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07731766;
06-27 19:03:01.225 10318 10347 I Unity   : [STATISTIC]308;11563385;11563177;741707776;14438400;883549463;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01157552;
06-27 19:03:01.239 10318 10347 I Unity   : [STATISTIC]309;8234844;8234375;742227968;14438400;883576087;0;0;0;0;0;0;0;0;0;0;0;0;0;0.008244062;
06-27 19:03:01.253 10318 10347 I Unity   : [STATISTIC]310;13474323;13473802;743145472;14438400;883576087;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01347984;
06-27 19:03:01.271 10318 10347 I Unity   : [STATISTIC]311;14299271;14298906;744566784;14438400;883576087;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01430484;
06-27 19:03:01.281 10318 10347 I Unity   : [STATISTIC]312;17950782;17950208;745009152;14438400;883576087;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01795713;
06-27 19:03:01.336 10318 10347 I Unity   : [STATISTIC]313;17200885;17200417;746012672;14438400;883584279;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01721016;
06-27 19:03:01.355 10318 10347 I Unity   : [STATISTIC]314;62699583;62698906;735981568;14438400;885822551;0;0;0;0;0;0;0;0;0;0;0;0;27;0.06270135;
