
07-04 11:29:43.201  9379  9406 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameServer Opencraft.Player.PlayerMovementSystem;GameClient Opencraft.Player.PlayerMovementSystem;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-04 11:29:43.257  9379  9406 I Unity   : [STATISTIC]299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01443021;
07-04 11:29:43.283  9379  9406 I Unity   : [STATISTIC]300;0;0;0;756465664;16392192;880947447;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01443021;
07-04 11:29:43.554  9379  9406 I Unity   : [STATISTIC]301;280416510;0;280416146;760000512;16392192;880947447;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;
07-04 11:29:43.566  9379  9406 I Unity   : [STATISTIC]302;15780521;0;15779896;761413632;16392192;880947447;0;0;0;0;0;0;0;0;0;312;780;626;0;0;0;0;0;0.01579208;
07-04 11:29:43.574  9379  9406 I Unity   : [STATISTIC]303;5515209;0;5514791;761675776;16392192;880947447;0;0;0;0;0;0;0;0;0;208;573;156;0;0;0;0;0;0.005524688;
07-04 11:29:43.593  9379  9406 I Unity   : [STATISTIC]304;8231458;0;8230990;761942016;16392192;880947447;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.008234166;
07-04 11:29:43.607  9379  9406 I Unity   : [STATISTIC]305;18527813;0;18527343;771141632;16392192;921280759;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01854;
07-04 11:29:43.620  9379  9406 I Unity   : [STATISTIC]306;15488177;0;15487605;769085440;16392192;918784919;0;0;0;0;0;0;0;0;0;365;573;104;0;0;0;0;0;0.0154926;
07-04 11:29:43.634  9379  9406 I Unity   : [STATISTIC]307;12317188;0;12316614;769896448;16392192;919057795;0;0;0;0;0;0;0;0;0;365;468;104;0;0;0;0;0;0.01232745;
07-04 11:29:43.649  9379  9406 I Unity   : [STATISTIC]308;14289584;0;14289011;769896448;16392192;919084419;0;0;0;0;0;0;0;0;0;209;365;156;0;0;0;0;0;0.01429948;
