
07-04 11:35:42.841 16048 16069 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameServer Opencraft.Player.PlayerMovementSystem;GameClient Opencraft.Player.PlayerMovementSystem;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-04 11:35:42.892 16048 16069 I Unity   : [STATISTIC]299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01408151;
07-04 11:35:42.916 16048 16069 I Unity   : [STATISTIC]300;0;0;0;734093312;16011264;880566519;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01408151;
07-04 11:35:43.184 16048 16069 I Unity   : [STATISTIC]301;274718802;0;274718125;737751040;16011264;880566519;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;
07-04 11:35:43.196 16048 16069 I Unity   : [STATISTIC]302;16513021;0;16512552;739250176;16011264;880566519;0;0;0;0;0;0;0;0;0;572;886;624;0;0;0;0;0;0.01652312;
07-04 11:35:43.208 16048 16069 I Unity   : [STATISTIC]303;5869635;0;5869115;739250176;16011264;880566519;0;0;0;0;0;0;0;0;0;313;677;521;0;0;0;0;0;0.005878645;
07-04 11:35:43.227 16048 16069 I Unity   : [STATISTIC]304;12051250;0;12050885;740036608;16011264;880566519;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01205573;
07-04 11:35:43.241 16048 16069 I Unity   : [STATISTIC]305;19152604;0;19152240;748888064;16011264;920899831;0;0;0;0;0;0;0;0;0;520;209;521;0;0;0;0;0;0.01916833;
07-04 11:35:43.254 16048 16069 I Unity   : [STATISTIC]306;13999636;0;13999166;746901504;16011264;918403991;0;0;0;0;0;0;0;0;0;208;417;312;0;0;0;0;0;0.01401109;
07-04 11:35:43.269 16048 16069 I Unity   : [STATISTIC]307;13516303;0;13515937;747737088;16011264;918676759;0;0;0;0;0;0;0;0;0;156;469;364;0;0;0;0;0;0.01352807;
07-04 11:35:43.285 16048 16069 I Unity   : [STATISTIC]308;14117864;0;14117292;747737088;16011264;918703383;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01412313;
07-04 11:35:43.295 16048 16069 I Unity   : [STATISTIC]309;16181354;0;16181041;748961792;16011264;918703383;0;0;0;0;0;0;0;0;0;365;364;260;0;0;0;0;0;0.01620255;
07-04 11:35:43.310 16048 16069 I Unity   : [STATISTIC]310;10619010;0;10618385;749846528;16011264;918703383;0;0;0;0;0;0;0;0;0;312;468;365;0;0;0;0;0;0.01062953;
07-04 11:35:43.324 16048 16069 I Unity   : [STATISTIC]311;14240260;0;14239896;749846528;16011264;918703383;0;0;0;0;0;0;0;0;0;209;521;208;0;0;0;0;0;0.01425088;
07-04 11:35:43.338 16048 16069 I Unity   : [STATISTIC]312;14188281;0;14187917;750628864;16011264;918703383;0;0;0;0;0;0;0;0;0;417;208;521;0;0;0;0;0;0.01419516;
07-04 11:35:43.353 16048 16069 I Unity   : [STATISTIC]313;25407239;0;25406875;751759360;16011264;918711575;0;0;0;0;0;0;0;0;0;1961093;1521303;217865;0;0;0;0;27;0.02541224;
07-04 11:35:43.366 16048 16069 I Unity   : [STATISTIC]314;4786250;0;4785885;752168960;16011264;918711575;0;0;0;0;0;0;0;0;0;12292;24063;92552;0;0;0;0;27;0.004796458;
07-04 11:35:43.379 16048 16069 I Unity   : [STATISTIC]315;10842239;0;10841614;752168960;16011264;918711575;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01085146;
07-04 11:35:43.393 16048 16069 I Unity   : [STATISTIC]316;15098542;0;15098229;752168960;16011264;918711575;0;0;0;0;0;0;0;0;0;14427;46407;110364;0;0;0;0;27;0.01510677;
07-04 11:35:43.408 16048 16069 I Unity   : [STATISTIC]317;13885416;0;13885104;752168960;16011264;918711575;0;0;0;0;0;0;0;0;0;9271;31406;49166;0;0;0;0;27;0.01389359;
