
07-04 11:41:45.971 22774 22799 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-04 11:41:46.028 22774 22799 I Unity   : [STATISTIC]298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01453885;
07-04 11:41:46.053 22774 22799 I Unity   : [STATISTIC]299;0;0;0;750518272;16658432;881213687;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01453885;
07-04 11:41:46.321 22774 22799 I Unity   : [STATISTIC]300;275443490;0;275443073;753913856;16658432;881213687;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;
07-04 11:41:46.333 22774 22799 I Unity   : [STATISTIC]301;16679011;0;16678334;755486720;16658432;881213687;0;0;0;0;0;0;0;0;0;261;624;364;0;0;0;0.01668943;
07-04 11:41:46.344 22774 22799 I Unity   : [STATISTIC]302;5957135;0;5956407;755486720;16658432;881213795;0;0;0;0;0;0;0;0;0;209;417;156;0;0;0;0.005966667;
07-04 11:41:46.364 22774 22799 I Unity   : [STATISTIC]303;11048854;0;11048177;756011008;16658432;881213795;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01105703;
07-04 11:41:46.377 22774 22799 I Unity   : [STATISTIC]304;19959479;0;19959010;765018112;16658432;921547107;0;0;0;0;0;0;0;0;0;157;417;208;0;0;0;0.01996698;
07-04 11:41:46.391 22774 22799 I Unity   : [STATISTIC]305;13665990;0;13665625;763043840;16658432;919051267;0;0;0;0;0;0;0;0;0;104;625;105;0;0;0;0.01364562;
07-04 11:41:46.405 22774 22799 I Unity   : [STATISTIC]306;14024531;0;14024167;763879424;16658432;919324035;0;0;0;0;0;0;0;0;0;156;469;364;0;0;0;0.01406531;
07-04 11:41:46.419 22774 22799 I Unity   : [STATISTIC]307;12999688;0;12999270;763879424;16658432;919350659;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01300818;
