
06-27 11:20:55.583 12056 12081 I Unity   : [STATISTIC]Frame Number;Main Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;GameServer Opencraft.Terrain.TerrainGenerationSystem;terrainMeshingSys;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
06-27 11:20:55.633 12056 12081 I Unity   : [STATISTIC]299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01454703;
06-27 11:20:55.659 12056 12081 I Unity   : [STATISTIC]300;0;0;752267264;14884864;879440119;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01454703;
06-27 11:20:55.927 12056 12081 I Unity   : [STATISTIC]301;275780156;275779688;755728384;14884864;879440119;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;
06-27 11:20:55.939 12056 12081 I Unity   : [STATISTIC]302;16897396;16896875;757035008;14884864;879440119;0;0;0;0;0;0;0;0;0;833;0;0;0;0.01690974;
06-27 11:20:55.949 12056 12081 I Unity   : [STATISTIC]303;5861094;5860729;757301248;14884864;879440119;0;0;0;0;0;0;0;0;0;417;0;0;0;0.005870313;
06-27 11:20:55.969 12056 12081 I Unity   : [STATISTIC]304;9932239;9931927;757563392;14884864;879440119;0;0;0;0;0;0;0;0;0;0;0;0;0;0.009934635;
06-27 11:20:55.983 12056 12081 I Unity   : [STATISTIC]305;20129896;20129323;767307776;14884864;919773431;0;0;0;0;0;0;0;0;0;313;0;0;0;0.02014698;
06-27 11:20:55.995 12056 12081 I Unity   : [STATISTIC]306;14880520;14879791;765292544;14884864;917277591;0;0;0;0;0;0;0;0;0;677;0;0;0;0.01488578;
06-27 11:20:56.009 12056 12081 I Unity   : [STATISTIC]307;11138593;11138281;766136320;14884864;917550359;0;0;0;0;0;0;0;0;0;208;0;0;0;0.01116552;
06-27 11:20:56.025 12056 12081 I Unity   : [STATISTIC]308;13263542;13262865;766136320;14884864;917576983;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01327089;
06-27 11:20:56.039 12056 12081 I Unity   : [STATISTIC]309;16293229;16292708;766472192;14884864;917576983;0;0;0;0;0;0;0;0;0;416;0;0;0;0.01630109;
06-27 11:20:56.053 12056 12081 I Unity   : [STATISTIC]310;14135938;14135416;767680512;14884864;917576983;0;0;0;0;0;0;0;0;0;416;0;0;0;0.01414635;
06-27 11:20:56.067 12056 12081 I Unity   : [STATISTIC]311;13284636;13284011;768520192;14884864;917576983;0;0;0;0;0;0;0;0;0;416;0;0;0;0.01329672;
06-27 11:20:56.081 12056 12081 I Unity   : [STATISTIC]312;24847552;24847084;769564672;14884864;917585175;0;0;0;0;0;0;0;0;0;2147344;0;0;27;0.02485292;
06-27 11:20:56.094 12056 12081 I Unity   : [STATISTIC]313;4793437;4792864;769736704;14884864;917585175;0;0;0;0;0;0;0;0;0;12968;0;0;27;0.004803959;
06-27 11:20:56.107 12056 12081 I Unity   : [STATISTIC]314;12610729;12610157;770056192;14884864;917585175;0;0;0;0;0;0;0;0;0;17812;0;0;27;0.01261521;
