
06-26 14:57:47.425  6126  6149 I Unity   : [STATISTIC]Frame Number;Main Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;GameServer Opencraft.Terrain.TerrainGenerationSystem;terrainMeshingSys;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
06-26 14:57:47.480  6126  6149 I Unity   : [STATISTIC]299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01452516;
06-26 14:57:47.506  6126  6149 I Unity   : [STATISTIC]300;0;0;742887424;16338944;880894199;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01452516;
06-26 14:57:47.774  6126  6149 I Unity   : [STATISTIC]301;276127864;276127344;745836544;16338944;880894199;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;
06-26 14:57:47.788  6126  6149 I Unity   : [STATISTIC]302;19776198;19775886;747565056;16338944;880894199;0;0;0;0;0;0;0;0;0;1197;0;0;0;0.01978401;
06-26 14:57:47.796  6126  6149 I Unity   : [STATISTIC]303;6000729;6000365;747565056;16338944;880894199;0;0;0;0;0;0;0;0;0;521;0;0;0;0.006038646;
06-26 14:57:47.816  6126  6149 I Unity   : [STATISTIC]304;7986041;7985677;748085248;16338944;880894199;0;0;0;0;0;0;0;0;0;0;0;0;0;0.007988906;
06-26 14:57:47.829  6126  6149 I Unity   : [STATISTIC]305;19463385;19462708;757420032;16338944;921227511;0;0;0;0;0;0;0;0;0;313;0;0;0;0.01947292;
06-26 14:57:47.843  6126  6149 I Unity   : [STATISTIC]306;15253906;15253490;757432320;16338944;921231607;0;0;0;0;0;0;0;0;0;573;0;0;0;0.01525057;
06-26 14:57:47.857  6126  6149 I Unity   : [STATISTIC]307;12084948;12084479;755539968;16338944;918731671;0;0;0;0;0;0;0;0;0;833;0;0;0;0.01211458;
06-26 14:57:47.871  6126  6149 I Unity   : [STATISTIC]308;13438021;13437656;756363264;16338944;919004439;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01344557;
06-26 14:57:47.885  6126  6149 I Unity   : [STATISTIC]309;14490000;14489531;756363264;16338944;919031063;0;0;0;0;0;0;0;0;0;833;0;0;0;0.0145025;
06-26 14:57:47.901  6126  6149 I Unity   : [STATISTIC]310;14340729;14340313;756707328;16338944;919031063;0;0;0;0;0;0;0;0;0;625;0;0;0;0.01434995;
06-26 14:57:47.912  6126  6149 I Unity   : [STATISTIC]311;15379427;15379115;758202368;16338944;919031063;0;0;0;0;0;0;0;0;0;521;0;0;0;0.01538588;
06-26 14:57:47.926  6126  6149 I Unity   : [STATISTIC]312;11306354;11305989;758202368;16338944;919031063;0;0;0;0;0;0;0;0;0;469;0;0;0;0.01131745;
06-26 14:57:47.940  6126  6149 I Unity   : [STATISTIC]313;15501667;15500885;759070720;16338944;919031063;0;0;0;0;0;0;0;0;0;677;0;0;0;0.01544318;
06-26 14:57:47.953  6126  6149 I Unity   : [STATISTIC]314;13784948;13784219;759312384;16338944;919039255;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01387458;
06-26 14:57:47.967  6126  6149 I Unity   : [STATISTIC]315;22035521;22034843;760188928;16338944;919039255;0;0;0;0;0;0;0;0;0;2822812;0;0;27;0.02208167;
06-26 14:57:47.981  6126  6149 I Unity   : [STATISTIC]316;5299323;5298802;760426496;16338944;919039255;0;0;0;0;0;0;0;0;0;24427;0;0;27;0.005327344;
06-26 14:57:47.996  6126  6149 I Unity   : [STATISTIC]317;12995052;12994584;760426496;16338944;919039255;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01299203;
06-26 14:57:48.009  6126  6149 I Unity   : [STATISTIC]318;16401042;16400677;760426496;16338944;919039255;0;0;0;0;0;0;0;0;0;14323;0;0;27;0.0164237;
06-26 14:57:48.023  6126  6149 I Unity   : [STATISTIC]319;11365521;11365209;760426496;16338944;919039255;0;0;0;0;0;0;0;0;0;12813;0;0;27;0.01138583;
06-26 14:57:48.037  6126  6149 I Unity   : [STATISTIC]320;13303437;13302760;760651776;16338944;919039255;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01331766;
06-26 14:57:48.050  6126  6149 I Unity   : [STATISTIC]321;16054740;16054375;760651776;16338944;919039255;0;0;0;0;0;0;0;0;0;14791;0;0;27;0.01606068;
06-26 14:57:48.065  6126  6149 I Unity   : [STATISTIC]322;12579375;12578645;760651776;16338944;919039255;0;0;0;0;0;0;0;0;0;9583;0;0;27;0.01265516;
06-26 14:57:48.079  6126  6149 I Unity   : [STATISTIC]323;13695937;13695260;760651776;16338944;919039255;0;0;0;0;0;0;0;0;0;9792;0;0;27;0.01375094;
06-26 14:57:48.093  6126  6149 I Unity   : [STATISTIC]324;15507344;15507031;760897536;16338944;919039255;0;0;0;0;0;0;0;0;0;13073;0;0;27;0.01551672;
06-26 14:57:48.105  6126  6149 I Unity   : [STATISTIC]325;14463698;14462969;760897536;16338944;919039255;0;0;0;0;0;0;0;0;0;15886;0;0;27;0.01446391;
06-26 14:57:48.121  6126  6149 I Unity   : [STATISTIC]326;10349792;10349375;760897536;16338944;919039255;0;0;0;0;0;0;0;0;0;9010;0;0;27;0.0103725;
06-26 14:57:48.135  6126  6149 I Unity   : [STATISTIC]327;15205156;15204583;760897536;16338944;919039255;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01518771;
