
07-15 17:09:58.798  7945  7975 I Unity   : [STATISTIC]Frame Number;Main Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);SetAreaNeighborsJob;GhostUpdateSystem:UpdateJob (Burst);GhostUpdateJobCustom;GhostUpdateSystem:UpdateJob;Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;GameServer Unity.Entities.SimulationSystemGroup;UnityEngine.CoreModule.dll!::UpdateFunction.Invoke() [Invoke];PostLateUpdate.FinishFrameRendering;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-15 17:09:58.850  7945  7975 I Unity   : [STATISTIC]298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01521052;
07-15 17:09:58.877  7945  7975 I Unity   : [STATISTIC]299;0;0;624533504;15982592;742810239;0;0;0;0;0;0;0;0;0;0;0;0;0;1293802;0;0;0;3896719;0;0;0.01521052;
07-15 17:09:59.149  7945  7975 I Unity   : [STATISTIC]300;284743073;284742552;627548160;15982592;742810239;0;0;0;0;0;0;0;0;0;0;0;0;0;8147187;0;0;0;162188;0;0;0.02;
07-15 17:09:59.157  7945  7975 I Unity   : [STATISTIC]301;11119687;11119219;627548160;15982592;742810239;0;0;0;0;0;0;1780677;0;0;0;0;0;0;79011;0;0;0;143855;0;0;0.01113036;
07-15 17:09:59.173  7945  7975 I Unity   : [STATISTIC]302;7251615;7251303;628584448;15982592;742810239;0;0;0;0;0;0;0;0;0;0;0;0;0;1668958;0;0;0;176562;0;0;0.00726875;
07-15 17:09:59.187  7945  7975 I Unity   : [STATISTIC]303;15595208;15594791;628584448;15982592;742810239;0;0;0;0;0;0;410521;0;0;0;0;0;0;10367864;0;0;0;187240;0;0;0.01559896;
07-15 17:09:59.201  7945  7975 I Unity   : [STATISTIC]304;12583229;12582708;634519552;15982592;778949247;0;0;0;0;0;0;245677;0;0;0;0;0;0;9222135;0;0;0;139740;0;0;0.01259776;
07-15 17:09:59.215  7945  7975 I Unity   : [STATISTIC]305;14075417;14074948;638009344;15982592;783143551;0;0;0;0;0;0;0;0;0;0;0;0;0;10973438;0;0;0;144896;0;0;0.01408667;
07-15 17:09:59.282  7945  7975 I Unity   : [STATISTIC]306;74082344;74081822;715960320;15982592;867111551;0;0;0;0;0;0;396927;0;0;0;0;0;0;11428906;0;0;0;174948;0;0;0.07406688;
07-15 17:09:59.291  7945  7975 I Unity   : [STATISTIC]307;8858386;8857813;714330112;15982592;864574751;0;0;0;0;0;0;745418;0;0;0;0;0;0;78489;1553750;0;0;125365;0;0;0.008896719;
