
07-15 17:12:59.094 11387 11413 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);SetAreaNeighborsJob;GhostUpdateSystem:UpdateJob (Burst);GhostUpdateJobCustom;GhostUpdateSystem:UpdateJob;Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-15 17:12:59.156 11387 11413 I Unity   : [STATISTIC]298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01372563;
07-15 17:12:59.181 11387 11413 I Unity   : [STATISTIC]299;0;0;0;728231936;16338944;860684927;0;0;0;0;0;0;0;0;0;0;0;0;0;10047864;0;0;0;0.01372563;
07-15 17:12:59.451 11387 11413 I Unity   : [STATISTIC]300;277194271;0;277193802;731439104;16338944;860684927;0;0;0;0;0;0;0;0;0;0;0;0;0;2762812;246974427;0;0;0.02;
07-15 17:12:59.462 11387 11413 I Unity   : [STATISTIC]301;16570000;0;16569479;732946432;16338944;860684927;364;365;574;0;0;886;5982343;0;0;0;0;0;0;71667;569583;0;0;0.01658094;
07-15 17:12:59.472 11387 11413 I Unity   : [STATISTIC]302;5686406;0;5685990;733265920;16338944;860684927;156;469;105;0;0;469;793594;0;0;0;0;0;0;50000;254427;0;0;0.005696198;
07-15 17:12:59.491 11387 11413 I Unity   : [STATISTIC]303;10164739;0;10164375;733532160;16338944;860684927;0;0;0;0;0;0;0;0;0;0;0;0;0;5619428;460312;0;0;0.01017094;
07-15 17:12:59.506 11387 11413 I Unity   : [STATISTIC]304;18343177;0;18342760;743354368;16338944;901018239;0;0;0;0;0;0;0;0;0;0;0;0;0;15294010;364062;0;0;0.01835146;
07-15 17:12:59.518 11387 11413 I Unity   : [STATISTIC]305;16310677;0;16310208;741318656;16338944;898485535;312;470;417;0;0;833;1440937;0;0;0;0;0;0;7585729;261771;0;0;0.01632391;
07-15 17:12:59.532 11387 11413 I Unity   : [STATISTIC]306;11388073;0;11387656;742293504;16338944;898795167;416;365;260;0;0;1198;917656;0;0;0;0;0;0;2347084;262084;0;0;0.01139547;
07-15 17:12:59.548 11387 11413 I Unity   : [STATISTIC]307;13517969;0;13506562;742293504;16338944;898821791;0;0;0;0;0;0;0;0;0;0;0;0;0;5876979;542448;0;0;0.01352661;
07-15 17:12:59.560 11387 11413 I Unity   : [STATISTIC]308;16796094;0;16795573;743600128;16338944;898821791;104;260;521;0;0;469;829948;0;0;0;0;0;0;10656563;258646;0;0;0.01680885;
07-15 17:12:59.575 11387 11413 I Unity   : [STATISTIC]309;11452708;0;11452239;743841792;16338944;898821791;260;156;416;0;0;677;762552;0;0;0;0;0;0;7979687;238021;0;0;0.01146182;
07-15 17:12:59.589 11387 11413 I Unity   : [STATISTIC]310;15079687;0;15079219;744968192;16338944;898821791;208;156;364;0;0;781;855834;0;0;0;0;0;0;11456927;259844;0;0;0.01508943;
07-15 17:12:59.603 11387 11413 I Unity   : [STATISTIC]311;23864948;0;23864479;745955328;16338944;898829983;1728906;1327083;180364;0;0;1146;8229323;0;0;0;0;0;0;4465521;1176198;0;27;0.02387214;
07-15 17:12:59.616 11387 11413 I Unity   : [STATISTIC]312;5126979;0;5126459;746205184;16338944;898829983;10834;20834;89583;0;0;781;1923541;0;0;0;0;0;0;438698;285104;0;27;0.005114896;
07-15 17:12:59.630 11387 11413 I Unity   : [STATISTIC]313;11098645;0;11098229;746205184;16338944;898829983;0;0;0;0;0;0;0;0;0;0;0;0;0;8367135;418021;0;27;0.01112937;
07-15 17:12:59.643 11387 11413 I Unity   : [STATISTIC]314;16476771;0;16476406;746205184;16338944;898829983;17188;44323;140520;0;0;677;1886457;0;0;0;0;0;0;11118125;354791;0;27;0.01648297;
07-15 17:12:59.657 11387 11413 I Unity   : [STATISTIC]315;12036354;0;12035885;746205184;16338944;898829983;10938;27292;54479;0;0;937;1314687;0;0;0;0;0;0;7211355;359218;0;27;0.01205448;
07-15 17:12:59.672 11387 11413 I Unity   : [STATISTIC]316;13755782;0;13755312;746446848;16338944;898829983;6771;25885;44062;0;0;625;1052916;0;0;0;0;0;0;10046198;245052;0;27;0.01374901;
07-15 17:12:59.685 11387 11413 I Unity   : [STATISTIC]317;16542500;0;16541875;746446848;16338944;898829983;10521;35573;78490;0;0;1250;1490677;0;0;0;0;0;0;11211823;391719;0;27;0.01656646;
07-15 17:12:59.698 11387 11413 I Unity   : [STATISTIC]318;12945678;0;12945104;746446848;16338944;898829983;14010;35833;78385;0;0;677;1737397;0;0;0;0;0;0;7182083;431042;0;27;0.01295958;
07-15 17:12:59.712 11387 11413 I Unity   : [STATISTIC]319;10004166;0;10003386;746446848;16338944;898829983;0;0;0;0;0;0;0;0;0;0;0;0;0;7082239;384115;0;27;0.01009271;
07-15 17:12:59.727 11387 11413 I Unity   : [STATISTIC]320;14802396;0;14801980;746446848;16338944;898829983;7864;27239;61042;0;0;833;1043907;0;0;0;0;0;0;11179584;303229;0;27;0.01481073;
