
06-27 15:59:02.576  5665  5722 I Unity   : [STATISTIC]Frame Number;Main Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;GameServer Opencraft.Terrain.TerrainGenerationSystem;terrainMeshingSys;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
06-27 15:59:02.634  5665  5722 I Unity   : [STATISTIC]304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01389344;
06-27 15:59:02.656  5665  5722 I Unity   : [STATISTIC]305;0;0;706555904;15347712;831250679;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01389344;
06-27 15:59:02.889  5665  5722 I Unity   : [STATISTIC]306;239872031;239871562;709693440;15347712;831250679;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;
06-27 15:59:02.907  5665  5722 I Unity   : [STATISTIC]307;15029480;15029062;709693440;15347712;831250679;0;0;0;0;0;0;0;0;0;730;0;0;0;0.01503463;
06-27 15:59:02.926  5665  5722 I Unity   : [STATISTIC]308;11969688;11969219;709693440;15347712;831250787;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01198203;
06-27 15:59:02.948  5665  5722 I Unity   : [STATISTIC]309;31626875;31626198;709693440;15347712;831250787;0;0;0;0;0;0;0;0;0;312;0;0;0;0.03163182;
06-27 15:59:02.965  5665  5722 I Unity   : [STATISTIC]310;13442500;13441927;711782400;15347712;867389795;0;0;0;0;0;0;0;0;0;1303;0;0;0;0.01345526;
06-27 15:59:02.982  5665  5722 I Unity   : [STATISTIC]311;13674427;13673906;711782400;15347712;871584099;0;0;0;0;0;0;0;0;0;417;0;0;0;0.01368693;
06-27 15:59:03.000  5665  5722 I Unity   : [STATISTIC]312;17711406;17710678;711467008;15347712;869051395;0;0;0;0;0;0;0;0;0;573;0;0;0;0.01771979;
06-27 15:59:03.017  5665  5722 I Unity   : [STATISTIC]313;18333021;18332344;712458240;15347712;869352835;0;0;0;0;0;0;0;0;0;573;0;0;0;0.01833854;
06-27 15:59:03.035  5665  5722 I Unity   : [STATISTIC]314;16943958;16943281;712458240;15347712;868330991;0;0;0;0;0;0;0;0;0;677;0;0;0;0.01695714;
06-27 15:59:03.049  5665  5722 I Unity   : [STATISTIC]315;17672969;17671979;712458240;15347712;868330991;0;0;0;0;0;0;0;0;0;677;0;0;0;0.01768016;
06-27 15:59:03.065  5665  5722 I Unity   : [STATISTIC]316;14084480;14083854;712458240;15347712;868330991;0;0;0;0;0;0;0;0;0;521;0;0;0;0.01409599;
06-27 15:59:03.079  5665  5722 I Unity   : [STATISTIC]317;15084010;15083490;712458240;15347712;868330991;0;0;0;0;0;0;0;0;0;625;0;0;0;0.01509646;
06-27 15:59:03.094  5665  5722 I Unity   : [STATISTIC]318;14465261;14464792;712458240;15347712;868330991;0;0;0;0;0;0;0;0;0;365;0;0;0;0.01447443;
06-27 15:59:03.108  5665  5722 I Unity   : [STATISTIC]319;23324688;23324011;712458240;15347712;868339183;0;0;0;0;0;0;0;0;0;1424844;0;0;27;0.02332969;
06-27 15:59:03.122  5665  5722 I Unity   : [STATISTIC]320;6363177;6362865;712458240;15347712;868339183;0;0;0;0;0;0;0;0;0;13906;0;0;27;0.006373646;
06-27 15:59:03.137  5665  5722 I Unity   : [STATISTIC]321;12424635;12424166;712458240;15347712;868339183;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01243479;
06-27 15:59:03.152  5665  5722 I Unity   : [STATISTIC]322;17056406;17055677;712458240;15347712;868339183;0;0;0;0;0;0;0;0;0;19843;0;0;27;0.01706016;
06-27 15:59:03.166  5665  5722 I Unity   : [STATISTIC]323;14494167;14493594;712458240;15347712;868339183;0;0;0;0;0;0;0;0;0;11354;0;0;27;0.01450292;
06-27 15:59:03.181  5665  5722 I Unity   : [STATISTIC]324;14510312;14509635;712458240;15347712;868339183;0;0;0;0;0;0;0;0;0;11771;0;0;27;0.01451625;
06-27 15:59:03.195  5665  5722 I Unity   : [STATISTIC]325;14414531;14413646;712458240;15347712;868339183;0;0;0;0;0;0;0;0;0;12240;0;0;27;0.01443391;
06-27 15:59:03.209  5665  5722 I Unity   : [STATISTIC]326;14379115;14378437;712458240;15347712;868339183;0;0;0;0;0;0;0;0;0;11511;0;0;27;0.01439141;
