
06-27 17:50:54.122  8469  8492 I Unity   : [STATISTIC]Frame Number;Main Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;GameServer Opencraft.Terrain.TerrainGenerationSystem;terrainMeshingSys;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
06-27 17:50:54.193  8469  8492 I Unity   : [STATISTIC]298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01383328;
06-27 17:50:54.225  8469  8492 I Unity   : [STATISTIC]299;0;0;711188480;15867904;831762679;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01383328;
06-27 17:50:54.597  8469  8492 I Unity   : [STATISTIC]300;384878229;384877239;714149888;15867904;831762787;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;
06-27 17:50:54.619  8469  8492 I Unity   : [STATISTIC]301;21229063;21228334;714149888;15867904;831762787;0;0;0;0;0;0;0;0;0;938;0;0;0;0.02123698;
06-27 17:50:54.638  8469  8492 I Unity   : [STATISTIC]302;14156146;14155521;714149888;15867904;831762787;0;0;0;0;0;0;0;0;0;521;0;0;0;0.01416599;
06-27 17:50:54.659  8469  8492 I Unity   : [STATISTIC]303;28731250;28730677;714149888;15867904;831762787;0;0;0;0;0;0;0;0;0;833;0;0;0;0.02873854;
06-27 17:50:54.677  8469  8492 I Unity   : [STATISTIC]304;13621250;13620417;716185600;15867904;866853219;0;0;0;0;0;0;0;0;0;417;0;0;0;0.01363146;
06-27 17:50:54.694  8469  8492 I Unity   : [STATISTIC]305;16388750;16388021;716185600;15867904;871047523;0;0;0;0;0;0;0;0;0;1041;0;0;0;0.01640208;
06-27 17:50:54.712  8469  8492 I Unity   : [STATISTIC]306;17228594;17227968;716361728;15867904;868514819;0;0;0;0;0;0;0;0;0;989;0;0;0;0.01724193;
06-27 17:50:54.728  8469  8492 I Unity   : [STATISTIC]307;17345989;17345313;717344768;15867904;868824451;0;0;0;0;0;0;0;0;0;990;0;0;0;0.01735208;
06-27 17:50:54.745  8469  8492 I Unity   : [STATISTIC]308;16627083;16626198;717344768;15867904;868851183;0;0;0;0;0;0;0;0;0;938;0;0;0;0.01663604;
06-27 17:50:54.760  8469  8492 I Unity   : [STATISTIC]309;16501979;16501355;717344768;15867904;868851183;0;0;0;0;0;0;0;0;0;521;0;0;0;0.01651318;
06-27 17:50:54.776  8469  8492 I Unity   : [STATISTIC]310;15138489;15137708;717344768;15867904;868851183;0;0;0;0;0;0;0;0;0;730;0;0;0;0.01515135;
06-27 17:50:54.790  8469  8492 I Unity   : [STATISTIC]311;15896562;15895886;717344768;15867904;868851183;0;0;0;0;0;0;0;0;0;469;0;0;0;0.01590745;
06-27 17:50:54.805  8469  8492 I Unity   : [STATISTIC]312;14195625;14194948;717344768;15867904;868851183;0;0;0;0;0;0;0;0;0;782;0;0;0;0.01420578;
06-27 17:50:54.822  8469  8492 I Unity   : [STATISTIC]313;27587500;27586927;717344768;15867904;868859375;0;0;0;0;0;0;0;0;0;2050052;0;0;27;0.02759594;
06-27 17:50:54.832  8469  8492 I Unity   : [STATISTIC]314;7181927;7181407;717344768;15867904;868859375;0;0;0;0;0;0;0;0;0;30937;0;0;27;0.007191094;
06-27 17:50:54.846  8469  8492 I Unity   : [STATISTIC]315;5550312;5549792;717344768;15867904;868859375;0;0;0;0;0;0;0;0;0;0;0;0;27;0.00556026;
06-27 17:50:54.861  8469  8492 I Unity   : [STATISTIC]316;14347708;14347032;717344768;15867904;868859375;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01435781;
06-27 17:50:54.876  8469  8492 I Unity   : [STATISTIC]317;16329531;16328854;717344768;15867904;868859375;0;0;0;0;0;0;0;0;0;11041;0;0;27;0.01633989;
06-27 17:50:54.890  8469  8492 I Unity   : [STATISTIC]318;14719687;14719011;717344768;15867904;868859375;0;0;0;0;0;0;0;0;0;11614;0;0;27;0.01472932;
06-27 17:50:54.905  8469  8492 I Unity   : [STATISTIC]319;14607760;14606979;717344768;15867904;868728303;0;0;0;0;0;0;0;0;0;11719;0;0;27;0.01461859;
06-27 17:50:54.919  8469  8492 I Unity   : [STATISTIC]320;14460104;14459427;717344768;15867904;868728303;0;0;0;0;0;0;0;0;0;12344;0;0;27;0.01446917;
06-27 17:50:54.933  8469  8492 I Unity   : [STATISTIC]321;13809167;13808438;717344768;15867904;868728303;0;0;0;0;0;0;0;0;0;11667;0;0;27;0.0138174;
06-27 17:50:54.947  8469  8492 I Unity   : [STATISTIC]322;14511979;14511354;717344768;15867904;868728303;0;0;0;0;0;0;0;0;0;12344;0;0;27;0.01452182;
06-27 17:50:54.961  8469  8492 I Unity   : [STATISTIC]323;14013021;14012343;717344768;15867904;868728303;0;0;0;0;0;0;0;0;0;12135;0;0;27;0.01402208;
06-27 17:50:54.976  8469  8492 I Unity   : [STATISTIC]324;12801355;12800729;717344768;15867904;868728303;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01280719;
06-27 17:50:54.990  8469  8492 I Unity   : [STATISTIC]325;16096146;16095573;717344768;15867904;868728303;0;0;0;0;0;0;0;0;0;11667;0;0;27;0.01610802;
06-27 17:50:55.004  8469  8492 I Unity   : [STATISTIC]326;14043333;14042656;717344768;15867904;868728303;0;0;0;0;0;0;0;0;0;11719;0;0;27;0.01405229;
06-27 17:50:55.018  8469  8492 I Unity   : [STATISTIC]327;14175261;14174480;717344768;15867904;868728303;0;0;0;0;0;0;0;0;0;12448;0;0;27;0.01418385;
06-27 17:50:55.032  8469  8492 I Unity   : [STATISTIC]328;13939687;13939062;717344768;15867904;868728303;0;0;0;0;0;0;0;0;0;11354;0;0;27;0.01394984;
06-27 17:50:55.046  8469  8492 I Unity   : [STATISTIC]329;14015052;14014532;717344768;15867904;868728303;0;0;0;0;0;0;0;0;0;11146;0;0;27;0.01402495;
06-27 17:50:55.060  8469  8492 I Unity   : [STATISTIC]330;14065052;14064375;717344768;15867904;868728303;0;0;0;0;0;0;0;0;0;11667;0;0;27;0.01407411;
06-27 17:50:55.074  8469  8492 I Unity   : [STATISTIC]331;12606667;12605990;717344768;15867904;868728303;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01261578;
06-27 17:50:55.088  8469  8492 I Unity   : [STATISTIC]332;15204844;15204323;717344768;15867904;868728303;0;0;0;0;0;0;0;0;0;11562;0;0;27;0.0152149;
06-27 17:50:55.102  8469  8492 I Unity   : [STATISTIC]333;15461719;15461041;717213696;15867904;868728303;0;0;0;0;0;0;0;0;0;11666;0;0;27;0.01546974;
06-27 17:50:55.116  8469  8492 I Unity   : [STATISTIC]334;12402917;12402343;717213696;15867904;868728303;0;0;0;0;0;0;0;0;0;12448;0;0;27;0.01241521;
06-27 17:50:55.130  8469  8492 I Unity   : [STATISTIC]335;13975781;13975104;717213696;15867904;868728303;0;0;0;0;0;0;0;0;0;11979;0;0;27;0.01400406;
06-27 17:50:55.144  8469  8492 I Unity   : [STATISTIC]336;14099896;14099323;717213696;15867904;868728303;0;0;0;0;0;0;0;0;0;12135;0;0;27;0.01410969;
06-27 17:50:55.158  8469  8492 I Unity   : [STATISTIC]337;12653646;12653021;717213696;15867904;868728303;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01266276;
06-27 17:50:55.172  8469  8492 I Unity   : [STATISTIC]338;15438125;15437448;717213696;15867904;868728303;0;0;0;0;0;0;0;0;0;11563;0;0;27;0.01544615;
06-27 17:50:55.186  8469  8492 I Unity   : [STATISTIC]339;13920312;13919740;717213696;15867904;868728303;0;0;0;0;0;0;0;0;0;13802;0;0;27;0.01392932;
06-27 17:50:55.200  8469  8492 I Unity   : [STATISTIC]340;13870520;13869844;717213696;15867904;868728303;0;0;0;0;0;0;0;0;0;13334;0;0;27;0.01387885;
06-27 17:50:55.214  8469  8492 I Unity   : [STATISTIC]341;13936354;13935729;717213696;15867904;868728303;0;0;0;0;0;0;0;0;0;13646;0;0;27;0.01394693;
06-27 17:50:55.228  8469  8492 I Unity   : [STATISTIC]342;14045625;14043490;717213696;15867904;868728303;0;0;0;0;0;0;0;0;0;13021;0;0;27;0.01405213;
06-27 17:50:55.242  8469  8492 I Unity   : [STATISTIC]343;12333855;12333229;717213696;15867904;868728303;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01235344;
06-27 17:50:55.256  8469  8492 I Unity   : [STATISTIC]344;15373385;15372812;717213696;15867904;868728303;0;0;0;0;0;0;0;0;0;13437;0;0;27;0.01538089;
06-27 17:50:55.270  8469  8492 I Unity   : [STATISTIC]345;14169323;14168698;717213696;15867904;868728303;0;0;0;0;0;0;0;0;0;11459;0;0;27;0.01417906;
06-27 17:50:55.283  8469  8492 I Unity   : [STATISTIC]346;14254063;14253333;717213696;15867904;868728303;0;0;0;0;0;0;0;0;0;11041;0;0;27;0.01426453;
06-27 17:50:55.343  8469  8492 I Unity   : [STATISTIC]347;14142552;14141719;717213696;15867904;868728303;0;0;0;0;0;0;0;0;0;12032;0;0;27;0.01415422;
06-27 17:50:55.367  8469  8492 I Unity   : [STATISTIC]348;75808750;75808229;721711104;15867904;870966575;0;0;0;0;0;0;0;0;0;11927;0;0;27;0.07581667;
06-27 17:50:55.400  8469  8492 I Unity   : [STATISTIC]349;31622396;31621718;735682560;15867904;1209939247;0;0;0;0;0;0;0;0;0;2189322;0;0;27;0.03124854;
06-27 17:50:55.439  8469  8492 I Unity   : [STATISTIC]350;37492552;37491823;730898432;15867904;1226741039;0;0;0;0;0;0;0;0;0;1953438;0;0;27;0.03664292;
06-27 17:50:55.474  8469  8492 I Unity   : [STATISTIC]351;38863334;38862292;732880896;15867904;1226741039;0;0;0;0;0;0;0;0;0;1864896;0;0;27;0.03882516;
06-27 17:50:55.522  8469  8492 I Unity   : [STATISTIC]352;48601771;48600989;735797248;15867904;1260315951;0;0;0;0;0;0;0;0;0;2511926;0;0;27;0.04789177;
06-27 17:50:55.738  8469  8492 I Unity   : [STATISTIC]353;211448333;211447604;788180992;15867904;1245627791;0;0;0;0;0;0;0;0;0;1745052;0;0;27;0.212871;
06-27 17:50:55.800  8469  8492 I Unity   : [STATISTIC]354;66175468;66174479;810758144;15867904;1306494415;0;0;0;0;0;0;0;0;0;3490468;0;0;27;0.06458391;
06-27 17:50:55.874  8469  8492 I Unity   : [STATISTIC]355;71846510;71845625;823357440;15867904;1333790223;0;0;0;0;0;0;0;0;0;4317812;522656;0;27;0.07195755;
06-27 17:50:55.936  8469  8492 I Unity   : [STATISTIC]356;64171458;64170313;792805376;15867904;1337988655;0;0;0;0;0;0;0;0;0;3891249;0;0;27;0.06432813;
