
06-26 16:13:52.969 15604 15634 I Unity   : [STATISTIC]Frame Number;Main Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;GameServer Opencraft.Terrain.TerrainGenerationSystem;terrainMeshingSys;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
06-26 16:13:53.030 15604 15634 I Unity   : [STATISTIC]299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01394125;
06-26 16:13:53.055 15604 15634 I Unity   : [STATISTIC]300;0;0;746352640;15769600;880324855;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01394125;
06-26 16:13:53.323 15604 15634 I Unity   : [STATISTIC]301;274303229;274302864;749707264;15769600;880324855;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;
06-26 16:13:53.335 15604 15634 I Unity   : [STATISTIC]302;16699427;16699062;750985216;15769600;880324855;0;0;0;0;0;0;0;0;0;572;0;0;0;0.01670818;
06-26 16:13:53.344 15604 15634 I Unity   : [STATISTIC]303;6096250;6095834;751247360;15769600;880324855;0;0;0;0;0;0;0;0;0;208;0;0;0;0.006105156;
06-26 16:13:53.365 15604 15634 I Unity   : [STATISTIC]304;8750677;8750156;751505408;15769600;880324855;0;0;0;0;0;0;0;0;0;0;0;0;0;0.008759427;
06-26 16:13:53.378 15604 15634 I Unity   : [STATISTIC]305;20044844;20044479;760737792;15769600;920658167;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02005281;
06-26 16:13:53.392 15604 15634 I Unity   : [STATISTIC]306;16056718;16056354;760926208;15769600;920662263;0;0;0;0;0;0;0;0;0;677;0;0;0;0.01606042;
06-26 16:13:53.406 15604 15634 I Unity   : [STATISTIC]307;12705886;12705365;758874112;15769600;918162327;0;0;0;0;0;0;0;0;0;469;0;0;0;0.0127274;
06-26 16:13:53.421 15604 15634 I Unity   : [STATISTIC]308;13007291;13006927;759742464;15769600;918435095;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01301662;
06-26 16:13:53.434 15604 15634 I Unity   : [STATISTIC]309;17075416;17074896;759742464;15769600;918461719;0;0;0;0;0;0;0;0;0;417;0;0;0;0.01707943;
06-26 16:13:53.449 15604 15634 I Unity   : [STATISTIC]310;11685833;11685521;760442880;15769600;918461719;0;0;0;0;0;0;0;0;0;677;0;0;0;0.01170974;
06-26 16:13:53.463 15604 15634 I Unity   : [STATISTIC]311;14313385;14312969;761856000;15769600;918461719;0;0;0;0;0;0;0;0;0;417;0;0;0;0.01432198;
06-26 16:13:53.476 15604 15634 I Unity   : [STATISTIC]312;14485105;14484791;762314752;15769600;918461719;0;0;0;0;0;0;0;0;0;417;0;0;0;0.01449693;
06-26 16:13:53.490 15604 15634 I Unity   : [STATISTIC]313;22705416;22705104;763658240;15769600;918469911;0;0;0;0;0;0;0;0;0;1854948;0;0;27;0.02271469;
06-26 16:13:53.504 15604 15634 I Unity   : [STATISTIC]314;4782865;4782500;763895808;15769600;918469911;0;0;0;0;0;0;0;0;0;9583;0;0;27;0.004791615;
06-26 16:13:53.519 15604 15634 I Unity   : [STATISTIC]315;12848489;12847969;763895808;15769600;918469911;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01285104;
06-26 16:13:53.532 15604 15634 I Unity   : [STATISTIC]316;15584636;15584219;764039168;15769600;918469911;0;0;0;0;0;0;0;0;0;13854;0;0;27;0.01559859;
06-26 16:13:53.544 15604 15634 I Unity   : [STATISTIC]317;15948593;15948281;764268544;15769600;918469911;0;0;0;0;0;0;0;0;0;16406;0;0;27;0.01593651;
