Frame Number;Main Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;GameServer Opencraft.Terrain.TerrainGenerationSystem;terrainMeshingSys;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;
2;43061704;43061483;771395584;12206080;561951711;0;0;0;0;0;0;0;0;0;310;0;0;0;0.02;
3;2622528;2622418;772050944;12206080;561951711;0;0;0;0;0;0;0;0;0;180;0;0;0;0.002625724;
4;610936;610855;772182016;12206080;561951711;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000612268;
5;713849;713748;772182016;12206080;561951711;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000715191;
6;263625;263524;773099520;12206080;612283359;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000264847;
7;262953;262833;773492736;12206080;612283359;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000264085;
8;261160;261069;773623808;12206080;612283359;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000262492;
9;1135870;1135780;775852032;12206080;611234591;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001137183;
10;344105;343995;775852032;12206080;611234591;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000345207;
11;265047;264947;776245248;12206080;611234591;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000266249;
12;272211;272101;776507392;12206080;611234591;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000273674;
13;265227;265137;776769536;12206080;611234591;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000266239;
14;334687;334577;777031680;12206080;611234591;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000337092;
15;257222;257132;777293824;12206080;611234591;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000258515;
16;251802;251712;777818112;12206080;613614367;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000252914;
17;248946;248846;778342400;12206080;613614367;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000250079;
18;261069;260979;778866688;12206080;613614367;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000262472;
19;245761;245660;779390976;12206080;613614367;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000246953;
20;243266;243176;779784192;12206080;613614367;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000244479;
21;263164;263054;779915264;12206080;613614367;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000264416;
22;270006;269896;780046336;12206080;613614367;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000271098;
23;266791;266700;780177408;12206080;613614367;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000268534;
24;268494;268414;780177408;12206080;613614367;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000269525;
25;269916;269816;780570624;12206080;613614367;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000271399;
26;628789;628689;781619200;12206080;613614367;0;0;0;0;0;0;0;0;0;120;0;0;0;0.000629871;
27;408015;407915;782667776;12206080;617808671;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000409188;
28;334958;334848;782798848;12206080;617808671;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0003362;
29;275226;275126;782929920;12206080;617808671;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000276529;
30;263805;263715;783323136;12206080;617812767;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000265017;
31;281788;281698;783454208;12206080;617812767;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00028298;
32;353373;353262;783847424;12206080;617812767;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000355046;
33;265739;265629;783978496;12206080;617812767;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000267341;
34;1436975;1436875;781918208;12206080;615482183;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001438228;
35;482815;482705;781918208;12206080;615527415;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000483947;
36;252604;252484;782049280;12206080;615527415;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000253976;
37;255008;254888;782049280;12206080;615527415;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000256752;
38;255169;255079;782180352;12206080;615527415;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000256381;
39;256952;256862;782180352;12206080;615527415;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000258144;
